Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Raichu,064/193,Regular,,Confirmed,,,
,Raichu,064/193,Reverse holo,,Confirmed,,,
,Magnemite,065/193,Regular,,Confirmed,,,
,Magnemite,065/193,Reverse holo,,Confirmed,,,
,Voltorb,066/193,Regular,,Confirmed,,,
,Voltorb,066/193,Reverse holo,,Confirmed,,,
,Electrode,067/193,Regular,,Confirmed,,,
,Electrode,067/193,Reverse holo,,Confirmed,,,
,Shinx,068/193,Regular,,Confirmed,,,
,Shinx,068/193,Reverse holo,,Confirmed,,,
,Shinx,069/193,Regular,,Confirmed,,,
,Shinx,069/193,Reverse holo,,Confirmed,,,
,Luxio,070/193,Regular,,Confirmed,,,
,Luxio,070/193,Reverse holo,,Confirmed,,,
,Luxray,071/193,Regular,,Confirmed,,,
,Luxray,071/193,Reverse holo,,Confirmed,,,
,Pincurchin,072/193,Regular,,Confirmed,,,
,Pincurchin,072/193,Reverse holo,,Confirmed,,,
,Pincurchin,073/193,Regular,,Confirmed,,,
,Pincurchin,073/193,Reverse holo,,Confirmed,,,
,Pawmi,074/193,Regular,,Confirmed,,,
,Pawmi,074/193,Reverse holo,,Confirmed,,,
,Pawmo,075/193,Regular,,Confirmed,,,
,Pawmo,075/193,Reverse holo,,Confirmed,,,
,Pawmot,076/193,Regular,,Confirmed,,,
,Pawmot,076/193,Reverse holo,,Confirmed,,,
,Tadbulb,077/193,Regular,,Confirmed,,,
,Tadbulb,077/193,Reverse holo,,Confirmed,,,
,Tadbulb,078/193,Regular,,Confirmed,,,
,Tadbulb,078/193,Reverse holo,,Confirmed,,,
,Bellibolt ex,079/193,Regular,,Confirmed,,,
,Wattrel,080/193,Regular,,Confirmed,,,
,Wattrel,080/193,Reverse holo,,Confirmed,,,
,Wattrel,081/193,Regular,,Confirmed,,,
,Wattrel,081/193,Reverse holo,,Confirmed,,,
,Kilowattrel,082/193,Regular,,Confirmed,,,
,Kilowattrel,082/193,Reverse holo,,Confirmed,,,
,Jigglypuff,083/193,Regular,,Confirmed,,,
,Jigglypuff,083/193,Reverse holo,,Confirmed,,,
,Wigglytuff,084/193,Regular,,Confirmed,,,
,Wigglytuff,084/193,Reverse holo,,Confirmed,,,
,Slowpoke,085/193,Regular,,Confirmed,,,
,Slowpoke,085/193,Reverse holo,,Confirmed,,,
,Slowking ex,086/193,Regular,,Confirmed,,,
,Misdreavus,087/193,Regular,,Confirmed,,,
,Misdreavus,087/193,Reverse holo,,Confirmed,,,
,Mismagius,088/193,Regular,,Confirmed,,,
,Mismagius,088/193,Reverse holo,,Confirmed,,,
,Spiritomb,089/193,Regular,,Confirmed,,,
,Spiritomb,089/193,Reverse holo,,Confirmed,,,
,Gothita,090/193,Regular,,Confirmed,,,
,Gothita,090/193,Reverse holo,,Confirmed,,,
,Gothorita,091/193,Regular,,Confirmed,,,
,Gothorita,091/193,Reverse holo,,Confirmed,,,
,Gothitelle,092/193,Regular,,Confirmed,,,
,Gothitelle,092/193,Reverse holo,,Confirmed,,,
,Dedenne ex,093/193,Regular,,Confirmed,,,
,Oranguru,094/193,Regular,,Confirmed,,,
,Oranguru,094/193,Reverse holo,,Confirmed,,,
,Sandygast,095/193,Regular,,Confirmed,,,
,Sandygast,095/193,Reverse holo,,Confirmed,,,
,Palossand,096/193,Regular,,Confirmed,,,
,Palossand,096/193,Reverse holo,,Confirmed,,,
,Mimikyu,097/193,Regular,,Confirmed,,,
,Mimikyu,097/193,Reverse holo,,Confirmed,,,
,Ceruledge,098/193,Regular,,Confirmed,,,
,Ceruledge,098/193,Reverse holo,,Confirmed,,,
,Rabsca,099/193,Regular,,Confirmed,,,
,Rabsca,099/193,Reverse holo,,Confirmed,,,
,Tinkatink,100/193,Regular,,Confirmed,,,
,Tinkatink,100/193,Reverse holo,,Confirmed,,,
,Tinkatink,101/193,Regular,,Confirmed,,,
,Tinkatink,101/193,Reverse holo,,Confirmed,,,
,Tinkatink,102/193,Regular,,Confirmed,,,
,Tinkatink,102/193,Reverse holo,,Confirmed,,,
,Tinkatuff,103/193,Regular,,Confirmed,,,
,Tinkatuff,103/193,Reverse holo,,Confirmed,,,
,Tinkatuff,104/193,Regular,,Confirmed,,,
,Tinkatuff,104/193,Reverse holo,,Confirmed,,,
,Tinkaton,105/193,Regular,,Confirmed,,,
,Tinkaton,105/193,Reverse holo,,Confirmed,,,
,Mankey,106/193,Regular,,Confirmed,,,
,Mankey,106/193,Reverse holo,,Confirmed,,,
,Primeape,107/193,Regular,,Confirmed,,,
,Primeape,107/193,Reverse holo,,Confirmed,,,
,Paldean Tauros,108/193,Regular,,Confirmed,,,
,Paldean Tauros,108/193,Reverse holo,,Confirmed,,,
,Sudowoodo,109/193,Regular,,Confirmed,,,
,Sudowoodo,109/193,Reverse holo,,Confirmed,,,
,Larvitar,110/193,Regular,,Confirmed,,,
,Larvitar,110/193,Reverse holo,,Confirmed,,,
,Pupitar,111/193,Regular,,Confirmed,,,
,Pupitar,111/193,Reverse holo,,Confirmed,,,
,Makuhita,112/193,Regular,,Confirmed,,,
,Makuhita,112/193,Reverse holo,,Confirmed,,,
,Hariyama,113/193,Regular,,Confirmed,,,
,Hariyama,113/193,Reverse holo,,Confirmed,,,
,Croagunk,114/193,Regular,,Confirmed,,,
,Croagunk,114/193,Reverse holo,,Confirmed,,,
