Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Blitzle,062/191,Regular,,Confirmed,,,
,Blitzle,062/191,Reverse holo,,Confirmed,,,
,Zebstrika,063/191,Regular,,Confirmed,,,
,Zebstrika,063/191,Reverse holo,,Confirmed,,,
,Stunfisk,064/191,Regular,,Confirmed,,,
,Stunfisk,064/191,Reverse holo,,Confirmed,,,
,Tapu Koko,065/191,Regular,,Confirmed,,,
,Tapu Koko,065/191,Reverse holo,,Confirmed,,,
,Wattrel,066/191,Regular,,Confirmed,,,
,Wattrel,066/191,Reverse holo,,Confirmed,,,
,Kilowattrel,067/191,Regular,,Confirmed,,,
,Kilowattrel,067/191,Reverse holo,,Confirmed,,,
,Kilowattrel ex,068/191,Regular,,Confirmed,,,
,Miraidon,069/191,Regular,,Confirmed,,,
,Miraidon,069/191,Reverse holo,,Confirmed,,,
,Togepi,070/191,Regular,,Confirmed,,,
,Togepi,070/191,Reverse holo,,Confirmed,,,
,Togetic,071/191,Regular,,Confirmed,,,
,Togetic,071/191,Reverse holo,,Confirmed,,,
,Togekiss,072/191,Regular,,Confirmed,,,
,Togekiss,072/191,Reverse holo,,Confirmed,,,
,Marill,073/191,Regular,,Confirmed,,,
,Marill,073/191,Reverse holo,,Confirmed,,,
,Azumarill,074/191,Regular,,Confirmed,,,
,Azumarill,074/191,Reverse holo,,Confirmed,,,
,Smoochum,075/191,Regular,,Confirmed,,,
,Smoochum,075/191,Reverse holo,,Confirmed,,,
,Latias ex,076/191,Regular,,Confirmed,,,
,Latios,077/191,Regular,,Confirmed,,,
,Latios,077/191,Reverse holo,,Confirmed,,,
,Uxie,078/191,Regular,,Confirmed,,,
,Uxie,078/191,Reverse holo,,Confirmed,,,
,Mesprit,079/191,Regular,,Confirmed,,,
,Mesprit,079/191,Reverse holo,,Confirmed,,,
,Azelf,080/191,Regular,,Confirmed,,,
,Azelf,080/191,Reverse holo,,Confirmed,,,
,Sigilyph,081/191,Regular,,Confirmed,,,
,Sigilyph,081/191,Reverse holo,,Confirmed,,,
,Yamask,082/191,Regular,,Confirmed,,,
,Yamask,082/191,Reverse holo,,Confirmed,,,
,Cofagrigus,083/191,Regular,,Confirmed,,,
,Cofagrigus,083/191,Reverse holo,,Confirmed,,,
,Espurr,084/191,Regular,,Confirmed,,,
,Espurr,084/191,Reverse holo,,Confirmed,,,
,Meowstic,085/191,Regular,,Confirmed,,,
,Meowstic,085/191,Reverse holo,,Confirmed,,,
,Sylveon ex,086/191,Regular,,Confirmed,,,
,Dedenne,087/191,Regular,,Confirmed,,,
,Dedenne,087/191,Reverse holo,,Confirmed,,,
,Xerneas,088/191,Regular,,Confirmed,,,
,Xerneas,088/191,Reverse holo,,Confirmed,,,
,Oricorio,089/191,Regular,,Confirmed,,,
,Oricorio,089/191,Reverse holo,,Confirmed,,,
,Sandygast,090/191,Regular,,Confirmed,,,
,Sandygast,090/191,Reverse holo,,Confirmed,,,
,Palossand ex,091/191,Regular,,Confirmed,,,
,Tapu Lele,092/191,Regular,,Confirmed,,,
,Tapu Lele,092/191,Reverse holo,,Confirmed,,,
,Indeedee,093/191,Regular,,Confirmed,,,
,Indeedee,093/191,Reverse holo,,Confirmed,,,
,Flittle,094/191,Regular,,Confirmed,,,
,Flittle,094/191,Reverse holo,,Confirmed,,,
,Espathra,095/191,Regular,,Confirmed,,,
,Espathra,095/191,Reverse holo,,Confirmed,,,
,Flutter Mane,096/191,Regular,,Confirmed,,,
,Flutter Mane,096/191,Reverse holo,,Confirmed,,,
,Gimmighoul,097/191,Regular,,Confirmed,,,
,Gimmighoul,097/191,Reverse holo,,Confirmed,,,
,Mankey,098/191,Regular,,Confirmed,,,
,Mankey,098/191,Reverse holo,,Confirmed,,,
,Primeape,099/191,Regular,,Confirmed,,,
,Primeape,099/191,Reverse holo,,Confirmed,,,
,Annihilape,100/191,Regular,,Confirmed,,,
,Annihilape,100/191,Reverse holo,,Confirmed,,,
,Paldean Tauros,101/191,Regular,,Confirmed,,,
,Paldean Tauros,101/191,Reverse holo,,Confirmed,,,
,Phanpy,102/191,Regular,,Confirmed,,,
,Phanpy,102/191,Reverse holo,,Confirmed,,,
,Donphan,103/191,Regular,,Confirmed,,,
,Donphan,103/191,Reverse holo,,Confirmed,,,
,Trapinch,104/191,Regular,,Confirmed,,,
,Trapinch,104/191,Reverse holo,,Confirmed,,,
,Vibrava,105/191,Regular,,Confirmed,,,
,Vibrava,105/191,Reverse holo,,Confirmed,,,
,Flygon ex,106/191,Regular,,Confirmed,,,
,Gastrodon,107/191,Regular,,Confirmed,,,
,Gastrodon,107/191,Reverse holo,,Confirmed,,,
,Drilbur,108/191,Regular,,Confirmed,,,
,Drilbur,108/191,Reverse holo,,Confirmed,,,
,Excadrill,109/191,Regular,,Confirmed,,,
,Excadrill,109/191,Reverse holo,,Confirmed,,,
,Landorus,110/191,Regular,,Confirmed,,,
,Landorus,110/191,Reverse holo,,Confirmed,,,
,Passimian,111/191,Regular,,Confirmed,,,
,Passimian,111/191,Reverse holo,,Confirmed,,,
,Clobbopus,112/191,Regular,,Confirmed,,,
,Clobbopus,112/191,Reverse holo,,Confirmed,,,
,Grapploct,113/191,Regular,,Confirmed,,,
,Grapploct,113/191,Reverse holo,,Confirmed,,,
,Glimmet,114/191,Regular,,Confirmed,,,
,Glimmet,114/191,Reverse holo,,Confirmed,,,
,Glimmora,115/191,Regular,,Confirmed,,,
,Glimmora,115/191,Reverse holo,,Confirmed,,,
,Koraidon,116/191,Regular,,Confirmed,,,
,Koraidon,116/191,Reverse holo,,Confirmed,,,
,Deino,117/191,Regular,,Confirmed,,,
,Deino,117/191,Reverse holo,,Confirmed,,,
,Zweilous,118/191,Regular,,Confirmed,,,
,Zweilous,118/191,Reverse holo,,Confirmed,,,
,Hydreigon ex,119/191,Regular,,Confirmed,,,
,Shroodle,120/191,Regular,,Confirmed,,,
,Shroodle,120/191,Reverse holo,,Confirmed,,,
,Grafaiai,121/191,Regular,,Confirmed,,,
,Grafaiai,121/191,Reverse holo,,Confirmed,,,
,Alolan Diglett,122/191,Regular,,Confirmed,,,
,Alolan Diglett,122/191,Reverse holo,,Confirmed,,,
,Alolan Dugtrio,123/191,Regular,,Confirmed,,,
,Alolan Dugtrio,123/191,Reverse holo,,Confirmed,,,
