Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Diggersby,065/088,Regular,,Confirmed,,,
,Diggersby,065/088,Reverse holo,,Confirmed,,,
,Fletchling,066/088,Regular,,Confirmed,,,
,Fletchling,066/088,Reverse holo,,Confirmed,,,
,Furfrou,067/088,Regular,,Confirmed,,,
,Furfrou,067/088,Reverse holo,,Confirmed,,,
,Antique Jaw Fossil,068/088,Regular,,Confirmed,,,
,Antique Jaw Fossil,068/088,Reverse holo,,Confirmed,,,
,Antique Sail Fossil,069/088,Regular,,Confirmed,,,
,Antique Sail Fossil,069/088,Reverse holo,,Confirmed,,,
,Core Memory,070/088,Regular,,Confirmed,,,
,Core Memory,070/088,Reverse holo,,Confirmed,,,
,Crushing Hammer,071/088,Regular,,Confirmed,,,
,Crushing Hammer,071/088,Reverse holo,,Confirmed,,,
,Energy Search,072/088,Regular,,Confirmed,,,
,Energy Search,072/088,Reverse holo,,Confirmed,,,
,Energy Swatter,073/088,Regular,,Confirmed,,,
,Energy Swatter,073/088,Reverse holo,,Confirmed,,,
,Hole-Digging Shovel,074/088,Regular,,Confirmed,,,
,Hole-Digging Shovel,074/088,Reverse holo,,Confirmed,,,
,Jacinthe,075/088,Regular,,Confirmed,,,
,Jacinthe,075/088,Reverse holo,,Confirmed,,,
,Judge,076/088,Regular,,Confirmed,,,
,Judge,076/088,Reverse holo,,Confirmed,,,
,Lumiose City,077/088,Regular,,Confirmed,,,
,Lumiose City,077/088,Reverse holo,,Confirmed,,,
,Lumiose Galette,078/088,Regular,,Confirmed,,,
,Lumiose Galette,078/088,Reverse holo,,Confirmed,,,
,Naveen,079/088,Regular,,Confirmed,,,
,Naveen,079/088,Reverse holo,,Confirmed,,,
,Poké Ball,080/088,Regular,,Confirmed,,,
,Poké Ball,080/088,Reverse holo,,Confirmed,,,
,Poké Pad,081/088,Regular,,Confirmed,,,
,Poké Pad,081/088,Reverse holo,,Confirmed,,,
,Pokémon Catcher,082/088,Regular,,Confirmed,,,
,Pokémon Catcher,082/088,Reverse holo,,Confirmed,,,
,Potion,083/088,Regular,,Confirmed,,,
,Potion,083/088,Reverse holo,,Confirmed,,,
,Rosa's Encouragement,084/088,Regular,,Confirmed,,,
,Rosa's Encouragement,084/088,Reverse holo,,Confirmed,,,
,Tarragon,085/088,Regular,,Confirmed,,,
,Tarragon,085/088,Reverse holo,,Confirmed,,,
,Growing Grass Energy,086/088,Regular,,Confirmed,,,
,Growing Grass Energy,086/088,Reverse holo,,Confirmed,,,
,Rocky Fighting Energy,087/088,Regular,,Confirmed,,,
,Rocky Fighting Energy,087/088,Reverse holo,,Confirmed,,,
,Telepathic Psychic Energy,088/088,Regular,,Confirmed,,,
,Telepathic Psychic Energy,088/088,Reverse holo,,Confirmed,,,
,Spewpa,089/088,Regular,,Confirmed,,,
,Rowlet,090/088,Regular,,Confirmed,,,
,Talonflame,091/088,Regular,,Confirmed,,,
,Aurorus,092/088,Regular,,Confirmed,,,
,Dedenne,093/088,Regular,,Confirmed,,,
,Clefairy,094/088,Regular,,Confirmed,,,
,Espurr,095/088,Regular,,Confirmed,,,
,Probopass,096/088,Regular,,Confirmed,,,
,Drapion,097/088,Regular,,Confirmed,,,
,Doublade,098/088,Regular,,Confirmed,,,
,Raticate,099/088,Regular,,Confirmed,,,
,Decidueye ex,100/088,Regular,Ultra Rare (full art),Confirmed,,,
,Salazzle ex,101/088,Regular,Ultra Rare (full art),Confirmed,,,
,Mega Starmie ex,102/088,Regular,Ultra Rare (full art),Confirmed,,,
,Mega Clefable ex,103/088,Regular,Ultra Rare (full art),Confirmed,,,
,Mega Zygarde ex,104/088,Regular,Ultra Rare (full art),Confirmed,,,
,Yveltal ex,105/088,Regular,Ultra Rare (full art),Confirmed,,,
,Mega Skarmory ex,106/088,Regular,Ultra Rare (full art),Confirmed,,,
,Meowth ex,107/088,Regular,Ultra Rare (full art),Confirmed,,,
,Energy Recycler,108/088,Regular,Ultra Rare (full art),Confirmed,,,
,Forest of Vitality,109/088,Regular,Ultra Rare (full art),Confirmed,,,
,Jacinthe,110/088,Regular,Ultra Rare (full art),Confirmed,,,
,Lumiose City,111/088,Regular,Ultra Rare (full art),Confirmed,,,
,Naveen,112/088,Regular,Ultra Rare (full art),Confirmed,,,
,Poké Pad,113/088,Regular,Ultra Rare (full art),Confirmed,,,
,Rosa's Encouragement,114/088,Regular,Ultra Rare (full art),Confirmed,,,
,Sacred Ash,115/088,Regular,Ultra Rare (full art),Confirmed,,,
,Tarragon,116/088,Regular,Ultra Rare (full art),Confirmed,,,
,Wondrous Patch,117/088,Regular,Ultra Rare (full art),Confirmed,,,
,Mega Starmie ex,118/088,Regular,,Confirmed,,,
,Mega Clefable ex,119/088,Regular,,Confirmed,,,
,Mega Zygarde ex,120/088,Regular,,Confirmed,,,
,Meowth ex,121/088,Regular,,Confirmed,,,
,Jacinthe,122/088,Regular,,Confirmed,,,
,Rosa's Encouragement,123/088,Regular,,Confirmed,,,
,Mega Zygarde ex,124/088,Regular,,Confirmed,,,
