Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Dondozo,061/198,Reverse holo,,Confirmed,,,
,Tatsugiri,062/198,Regular,,Confirmed,,,
,Tatsugiri,062/198,Reverse holo,,Confirmed,,,
,Magnemite,063/198,Regular,,Confirmed,,,
,Magnemite,063/198,Reverse holo,,Confirmed,,,
,Magneton,064/198,Regular,,Confirmed,,,
,Magneton,064/198,Reverse holo,,Confirmed,,,
,Magnezone ex,065/198,Regular,,Confirmed,,,
,Mareep,066/198,Regular,,Confirmed,,,
,Mareep,066/198,Reverse holo,,Confirmed,,,
,Flaaffy,067/198,Regular,,Confirmed,,,
,Flaaffy,067/198,Reverse holo,,Confirmed,,,
,Pachirisu,068/198,Regular,,Confirmed,,,
,Pachirisu,068/198,Reverse holo,,Confirmed,,,
,Rotom,069/198,Regular,,Confirmed,,,
,Rotom,069/198,Reverse holo,,Confirmed,,,
,Rotom,070/198,Regular,,Confirmed,,,
,Rotom,070/198,Reverse holo,,Confirmed,,,
,Toxel,071/198,Regular,,Confirmed,,,
,Toxel,071/198,Reverse holo,,Confirmed,,,
,Toxtricity,072/198,Regular,,Confirmed,,,
,Toxtricity,072/198,Reverse holo,,Confirmed,,,
,Pawmi,073/198,Regular,,Confirmed,,,
,Pawmi,073/198,Reverse holo,,Confirmed,,,
,Pawmi,074/198,Regular,,Confirmed,,,
,Pawmi,074/198,Reverse holo,,Confirmed,,,
,Pawmo,075/198,Regular,,Confirmed,,,
,Pawmo,075/198,Reverse holo,,Confirmed,,,
,Pawmot,076/198,Regular,,Confirmed,,,
,Pawmot,076/198,Reverse holo,,Confirmed,,,
,Wattrel,077/198,Regular,,Confirmed,,,
,Wattrel,077/198,Reverse holo,,Confirmed,,,
,Wattrel,078/198,Regular,,Confirmed,,,
,Wattrel,078/198,Reverse holo,,Confirmed,,,
,Kilowattrel,079/198,Regular,,Confirmed,,,
,Kilowattrel,079/198,Reverse holo,,Confirmed,,,
,Miraidon,080/198,Regular,,Confirmed,,,
,Miraidon,080/198,Reverse holo,,Confirmed,,,
