Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Raifort,142/131,Regular,Ultra Rare (full art),Confirmed,,,
,Tyme,143/131,Regular,Ultra Rare (full art),Confirmed,,,
,Leafeon ex,144/131,Regular,,Confirmed,,,
,Teal Mask Ogerpon ex,145/131,Regular,,Confirmed,,,
,Flareon ex,146/131,Regular,,Confirmed,,,
,Ceruledge ex,147/131,Regular,,Confirmed,,,
,Hearthflame Mask Ogerpon ex,148/131,Regular,,Confirmed,,,
,Vaporeon ex,149/131,Regular,,Confirmed,,,
,Glaceon ex,150/131,Regular,,Confirmed,,,
,Palafin ex,151/131,Regular,,Confirmed,,,
,Wellspring Mask Ogerpon ex,152/131,Regular,,Confirmed,,,
,Jolteon ex,153/131,Regular,,Confirmed,,,
,Iron Hands ex,154/131,Regular,,Confirmed,,,
,Espeon ex,155/131,Regular,,Confirmed,,,
,Sylveon ex,156/131,Regular,,Confirmed,,,
,Iron Valiant ex,157/131,Regular,,Confirmed,,,
,Iron Crown ex,158/131,Regular,,Confirmed,,,
,Sandy Shocks ex,159/131,Regular,,Confirmed,,,
,Cornerstone Mask Ogerpon ex,160/131,Regular,,Confirmed,,,
,Umbreon ex,161/131,Regular,,Confirmed,,,
,Roaring Moon ex,162/131,Regular,,Confirmed,,,
,Pecharunt ex,163/131,Regular,,Confirmed,,,
,Gholdengo ex,164/131,Regular,,Confirmed,,,
,Dragapult ex,165/131,Regular,,Confirmed,,,
,Raging Bolt ex,166/131,Regular,,Confirmed,,,
,Eevee ex,167/131,Regular,,Confirmed,,,
,Bloodmoon Ursaluna ex,168/131,Regular,,Confirmed,,,
,Terapagos ex,169/131,Regular,,Confirmed,,,
,Amarys,170/131,Regular,,Confirmed,,,
,Crispin,171/131,Regular,,Confirmed,,,
,Drayton,172/131,Regular,,Confirmed,,,
,Janine's Secret Art,173/131,Regular,,Confirmed,,,
,Kieran,174/131,Regular,,Confirmed,,,
,Lacey,175/131,Regular,,Confirmed,,,
,Iron Leaves ex,176/131,Regular,,Confirmed,,,
,Teal Mask Ogerpon ex,177/131,Regular,,Confirmed,,,
,Walking Wake ex,178/131,Regular,,Confirmed,,,
,Pikachu ex,179/131,Regular,,Confirmed,,,
,Terapagos ex,180/131,Regular,,Confirmed,,,
