Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Meditite,099/182,Reverse holo,,Confirmed,,,
,Medicham,100/182,Regular,,Confirmed,,,
,Medicham,100/182,Reverse holo,,Confirmed,,,
,Regirock ex,101/182,Regular,,Confirmed,,,
,Cynthia's Gible,102/182,Regular,,Confirmed,,,
,Cynthia's Gible,102/182,Reverse holo,,Confirmed,,,
,Cynthia's Gabite,103/182,Regular,,Confirmed,,,
,Cynthia's Gabite,103/182,Reverse holo,,Confirmed,,,
,Cynthia's Garchomp ex,104/182,Regular,,Confirmed,,,
,Hippopotas,105/182,Regular,,Confirmed,,,
,Hippopotas,105/182,Reverse holo,,Confirmed,,,
,Hippowdon,106/182,Regular,,Confirmed,,,
,Hippowdon,106/182,Reverse holo,,Confirmed,,,
,Mudbray,107/182,Regular,,Confirmed,,,
,Mudbray,107/182,Reverse holo,,Confirmed,,,
,Mudsdale,108/182,Regular,,Confirmed,,,
,Mudsdale,108/182,Reverse holo,,Confirmed,,,
,Arven's Toedscool,109/182,Regular,,Confirmed,,,
,Arven's Toedscool,109/182,Reverse holo,,Confirmed,,,
,Arven's Toedscruel,110/182,Regular,,Confirmed,,,
,Arven's Toedscruel,110/182,Reverse holo,,Confirmed,,,
,Cornerstone Mask Ogerpon,111/182,Regular,,Confirmed,,,
,Cornerstone Mask Ogerpon,111/182,Reverse holo,,Confirmed,,,
,Team Rocket's Ekans,112/182,Regular,,Confirmed,,,
,Team Rocket's Ekans,112/182,Reverse holo,,Confirmed,,,
,Team Rocket's Arbok,113/182,Regular,,Confirmed,,,
,Team Rocket's Arbok,113/182,Reverse holo,,Confirmed,,,
,Team Rocket's Nidoran♀,114/182,Regular,,Confirmed,,,
,Team Rocket's Nidoran♀,114/182,Reverse holo,,Confirmed,,,
,Team Rocket's Nidorina,115/182,Regular,,Confirmed,,,
,Team Rocket's Nidorina,115/182,Reverse holo,,Confirmed,,,
,Team Rocket's Nidoqueen,116/182,Regular,,Confirmed,,,
,Team Rocket's Nidoqueen,116/182,Reverse holo,,Confirmed,,,
,Team Rocket's Nidoran♂,117/182,Regular,,Confirmed,,,
,Team Rocket's Nidoran♂,117/182,Reverse holo,,Confirmed,,,
,Team Rocket's Nidorino,118/182,Regular,,Confirmed,,,
,Team Rocket's Nidorino,118/182,Reverse holo,,Confirmed,,,
,Team Rocket's Nidoking ex,119/182,Regular,,Confirmed,,,
,Team Rocket's Zubat,120/182,Regular,,Confirmed,,,
,Team Rocket's Zubat,120/182,Reverse holo,,Confirmed,,,
,Team Rocket's Golbat,121/182,Regular,,Confirmed,,,
,Team Rocket's Golbat,121/182,Reverse holo,,Confirmed,,,
,Team Rocket's Crobat ex,122/182,Regular,,Confirmed,,,
,Team Rocket's Grimer,123/182,Regular,,Confirmed,,,
,Team Rocket's Grimer,123/182,Reverse holo,,Confirmed,,,
,Team Rocket's Muk,124/182,Regular,,Confirmed,,,
,Team Rocket's Muk,124/182,Reverse holo,,Confirmed,,,
,Team Rocket's Koffing,125/182,Regular,,Confirmed,,,
,Team Rocket's Koffing,125/182,Reverse holo,,Confirmed,,,
,Team Rocket's Weezing,126/182,Regular,,Confirmed,,,
,Team Rocket's Weezing,126/182,Reverse holo,,Confirmed,,,
,Team Rocket's Murkrow,127/182,Regular,,Confirmed,,,
,Team Rocket's Murkrow,127/182,Reverse holo,,Confirmed,,,
,Team Rocket's Sneasel,128/182,Regular,,Confirmed,,,
,Team Rocket's Sneasel,128/182,Reverse holo,,Confirmed,,,
,Cynthia's Spiritomb,129/182,Regular,,Confirmed,,,
,Cynthia's Spiritomb,129/182,Reverse holo,,Confirmed,,,
,Marnie's Purrloin,130/182,Regular,,Confirmed,,,
,Marnie's Purrloin,130/182,Reverse holo,,Confirmed,,,
,Marnie's Liepard,131/182,Regular,,Confirmed,,,
,Marnie's Liepard,131/182,Reverse holo,,Confirmed,,,
,Marnie's Scraggy,132/182,Regular,,Confirmed,,,
,Marnie's Scraggy,132/182,Reverse holo,,Confirmed,,,
,Marnie's Scrafty,133/182,Regular,,Confirmed,,,
,Marnie's Scrafty,133/182,Reverse holo,,Confirmed,,,
,Marnie's Impidimp,134/182,Regular,,Confirmed,,,
,Marnie's Impidimp,134/182,Reverse holo,,Confirmed,,,
,Marnie's Morgrem,135/182,Regular,,Confirmed,,,
,Marnie's Morgrem,135/182,Reverse holo,,Confirmed,,,
,Marnie's Grimmsnarl ex,136/182,Regular,,Confirmed,,,
,Marnie's Morpeko,137/182,Regular,,Confirmed,,,
,Marnie's Morpeko,137/182,Reverse holo,,Confirmed,,,
,Arven's Maschiff,138/182,Regular,,Confirmed,,,
,Arven's Maschiff,138/182,Reverse holo,,Confirmed,,,
,Arven's Mabosstiff ex,139/182,Regular,,Confirmed,,,
,Forretress,140/182,Regular,,Confirmed,,,
,Forretress,140/182,Reverse holo,,Confirmed,,,
,Skarmory,141/182,Regular,,Confirmed,,,
