Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Abra,063/165,Reverse holo,,Confirmed,,,
,Kadabra,064/165,Regular,,Confirmed,,,
,Kadabra,064/165,Reverse holo,,Confirmed,,,
,Alakazam ex,065/165,Regular,,Confirmed,,,
,Machop,066/165,Regular,,Confirmed,,,
,Machop,066/165,Reverse holo,,Confirmed,,,
,Machoke,067/165,Regular,,Confirmed,,,
,Machoke,067/165,Reverse holo,,Confirmed,,,
,Machamp,068/165,Regular,,Confirmed,,,
,Machamp,068/165,Reverse holo,,Confirmed,,,
,Bellsprout,069/165,Regular,,Confirmed,,,
,Bellsprout,069/165,Reverse holo,,Confirmed,,,
,Weepinbell,070/165,Regular,,Confirmed,,,
,Weepinbell,070/165,Reverse holo,,Confirmed,,,
,Victreebel,071/165,Regular,,Confirmed,,,
,Victreebel,071/165,Reverse holo,,Confirmed,,,
,Tentacool,072/165,Regular,,Confirmed,,,
,Tentacool,072/165,Reverse holo,,Confirmed,,,
,Tentacruel,073/165,Regular,,Confirmed,,,
,Tentacruel,073/165,Reverse holo,,Confirmed,,,
,Geodude,074/165,Regular,,Confirmed,,,
,Geodude,074/165,Reverse holo,,Confirmed,,,
,Graveler,075/165,Regular,,Confirmed,,,
,Graveler,075/165,Reverse holo,,Confirmed,,,
,Golem ex,076/165,Regular,,Confirmed,,,
,Ponyta,077/165,Regular,,Confirmed,,,
,Ponyta,077/165,Reverse holo,,Confirmed,,,
,Rapidash,078/165,Regular,,Confirmed,,,
,Rapidash,078/165,Reverse holo,,Confirmed,,,
,Slowpoke,079/165,Regular,,Confirmed,,,
,Slowpoke,079/165,Reverse holo,,Confirmed,,,
,Slowbro,080/165,Regular,,Confirmed,,,
,Slowbro,080/165,Reverse holo,,Confirmed,,,
,Magnemite,081/165,Regular,,Confirmed,,,
,Magnemite,081/165,Reverse holo,,Confirmed,,,
,Magneton,082/165,Regular,,Confirmed,,,
,Magneton,082/165,Reverse holo,,Confirmed,,,
,Farfetch'd,083/165,Regular,,Confirmed,,,
,Farfetch'd,083/165,Reverse holo,,Confirmed,,,
,Doduo,084/165,Regular,,Confirmed,,,
,Doduo,084/165,Reverse holo,,Confirmed,,,
,Dodrio,085/165,Regular,,Confirmed,,,
,Dodrio,085/165,Reverse holo,,Confirmed,,,
,Seel,086/165,Regular,,Confirmed,,,
,Seel,086/165,Reverse holo,,Confirmed,,,
,Dewgong,087/165,Regular,,Confirmed,,,
,Dewgong,087/165,Reverse holo,,Confirmed,,,
,Grimer,088/165,Regular,,Confirmed,,,
,Grimer,088/165,Reverse holo,,Confirmed,,,
,Muk,089/165,Regular,,Confirmed,,,
,Muk,089/165,Reverse holo,,Confirmed,,,
,Shellder,090/165,Regular,,Confirmed,,,
,Shellder,090/165,Reverse holo,,Confirmed,,,
,Cloyster,091/165,Regular,,Confirmed,,,
,Cloyster,091/165,Reverse holo,,Confirmed,,,
,Gastly,092/165,Regular,,Confirmed,,,
,Gastly,092/165,Reverse holo,,Confirmed,,,
,Haunter,093/165,Regular,,Confirmed,,,
,Haunter,093/165,Reverse holo,,Confirmed,,,
,Gengar,094/165,Regular,,Confirmed,,,
,Gengar,094/165,Reverse holo,,Confirmed,,,
,Onix,095/165,Regular,,Confirmed,,,
,Onix,095/165,Reverse holo,,Confirmed,,,
,Drowzee,096/165,Regular,,Confirmed,,,
,Drowzee,096/165,Reverse holo,,Confirmed,,,
,Hypno,097/165,Regular,,Confirmed,,,
,Hypno,097/165,Reverse holo,,Confirmed,,,
,Krabby,098/165,Regular,,Confirmed,,,
,Krabby,098/165,Reverse holo,,Confirmed,,,
,Kingler,099/165,Regular,,Confirmed,,,
,Kingler,099/165,Reverse holo,,Confirmed,,,
,Voltorb,100/165,Regular,,Confirmed,,,
,Voltorb,100/165,Reverse holo,,Confirmed,,,
,Electrode,101/165,Regular,,Confirmed,,,
,Electrode,101/165,Reverse holo,,Confirmed,,,
,Exeggcute,102/165,Regular,,Confirmed,,,
,Exeggcute,102/165,Reverse holo,,Confirmed,,,
,Exeggutor,103/165,Regular,,Confirmed,,,
,Exeggutor,103/165,Reverse holo,,Confirmed,,,
,Cubone,104/165,Regular,,Confirmed,,,
,Cubone,104/165,Reverse holo,,Confirmed,,,
,Marowak,105/165,Regular,,Confirmed,,,
,Marowak,105/165,Reverse holo,,Confirmed,,,
,Hitmonlee,106/165,Regular,,Confirmed,,,
,Hitmonlee,106/165,Reverse holo,,Confirmed,,,
,Hitmonchan,107/165,Regular,,Confirmed,,,
,Hitmonchan,107/165,Reverse holo,,Confirmed,,,
