Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Mabosstiff,063/091,Reverse holo,,Confirmed,,,
,Varoom,064/091,Regular,,Confirmed,,,
,Varoom,064/091,Reverse holo,,Confirmed,,,
,Revavroom,065/091,Regular,,Confirmed,,,
,Revavroom,065/091,Reverse holo,,Confirmed,,,
,Iron Treads ex,066/091,Regular,,Confirmed,,,
,Gholdengo,067/091,Regular,,Confirmed,,,
,Gholdengo,067/091,Reverse holo,,Confirmed,,,
,Noibat,068/091,Regular,,Confirmed,,,
,Noibat,068/091,Reverse holo,,Confirmed,,,
,Noivern ex,069/091,Regular,,Confirmed,,,
,Cyclizar,070/091,Regular,,Confirmed,,,
,Cyclizar,070/091,Reverse holo,,Confirmed,,,
,Lechonk,071/091,Regular,,Confirmed,,,
,Lechonk,071/091,Reverse holo,,Confirmed,,,
,Oinkologne,072/091,Regular,,Confirmed,,,
,Oinkologne,072/091,Reverse holo,,Confirmed,,,
,Tandemaus,073/091,Regular,,Confirmed,,,
,Tandemaus,073/091,Reverse holo,,Confirmed,,,
,Maushold,074/091,Regular,,Confirmed,,,
,Maushold,074/091,Reverse holo,,Confirmed,,,
,Squawkabilly ex,075/091,Regular,,Confirmed,,,
,Artazon,076/091,Regular,,Confirmed,,,
,Artazon,076/091,Reverse holo,,Confirmed,,,
,Atticus,077/091,Regular,,Confirmed,,,
,Atticus,077/091,Reverse holo,,Confirmed,,,
,Clive,078/091,Regular,,Confirmed,,,
,Clive,078/091,Reverse holo,,Confirmed,,,
,Electric Generator,079/091,Regular,,Confirmed,,,
,Electric Generator,079/091,Reverse holo,,Confirmed,,,
,Iono,080/091,Regular,,Confirmed,,,
,Iono,080/091,Reverse holo,,Confirmed,,,
,Moonlit Hill,081/091,Regular,,Confirmed,,,
,Moonlit Hill,081/091,Reverse holo,,Confirmed,,,
,Nemona,082/091,Regular,,Confirmed,,,
,Nemona,082/091,Reverse holo,,Confirmed,,,
,Nemona's Backpack,083/091,Regular,,Confirmed,,,
,Nemona's Backpack,083/091,Reverse holo,,Confirmed,,,
,Nest Ball,084/091,Regular,,Confirmed,,,
,Nest Ball,084/091,Reverse holo,,Confirmed,,,
,Paldean Student,085/091,Regular,,Confirmed,,,
,Paldean Student,085/091,Reverse holo,,Confirmed,,,
,Paldean Student,086/091,Regular,,Confirmed,,,
,Paldean Student,086/091,Reverse holo,,Confirmed,,,
,Professor's Research,087/091,Regular,,Confirmed,,,
