Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Magnezone,060/191,Regular,,Confirmed,,0,
,Magnezone,060/191,Reverse holo,,Confirmed,,0,
,Rotom,061/191,Regular,,Confirmed,,0,
,Rotom,061/191,Reverse holo,,Confirmed,,0,
,Blitzle,062/191,Regular,,Confirmed,,0,
,Blitzle,062/191,Reverse holo,,Confirmed,,0,
,Zebstrika,063/191,Regular,,Confirmed,,0,
,Zebstrika,063/191,Reverse holo,,Confirmed,,0,
,Stunfisk,064/191,Regular,,Confirmed,,0,
,Stunfisk,064/191,Reverse holo,,Confirmed,,0,
,Tapu Koko,065/191,Regular,,Confirmed,,0,
,Tapu Koko,065/191,Reverse holo,,Confirmed,,0,
,Wattrel,066/191,Regular,,Confirmed,,0,
,Wattrel,066/191,Reverse holo,,Confirmed,,0,
,Kilowattrel,067/191,Regular,,Confirmed,,0,
,Kilowattrel,067/191,Reverse holo,,Confirmed,,0,
,Kilowattrel ex,068/191,Regular,,Confirmed,,0,
,Miraidon,069/191,Regular,,Confirmed,,0,
,Miraidon,069/191,Reverse holo,,Confirmed,,0,
,Togepi,070/191,Regular,,Confirmed,,0,
,Togepi,070/191,Reverse holo,,Confirmed,,0,
,Togetic,071/191,Regular,,Confirmed,,0,
,Togetic,071/191,Reverse holo,,Confirmed,,0,
,Togekiss,072/191,Regular,,Confirmed,,0,
,Togekiss,072/191,Reverse holo,,Confirmed,,0,
,Marill,073/191,Regular,,Confirmed,,0,
,Marill,073/191,Reverse holo,,Confirmed,,0,
,Azumarill,074/191,Regular,,Confirmed,,0,
,Azumarill,074/191,Reverse holo,,Confirmed,,0,
,Smoochum,075/191,Regular,,Confirmed,,0,
,Smoochum,075/191,Reverse holo,,Confirmed,,0,
,Latias ex,076/191,Regular,,Confirmed,,0,
,Latios,077/191,Regular,,Confirmed,,0,
,Latios,077/191,Reverse holo,,Confirmed,,0,
,Uxie,078/191,Regular,,Confirmed,,0,
,Uxie,078/191,Reverse holo,,Confirmed,,0,
,Mesprit,079/191,Regular,,Confirmed,,0,
,Mesprit,079/191,Reverse holo,,Confirmed,,0,
,Azelf,080/191,Regular,,Confirmed,,0,
,Azelf,080/191,Reverse holo,,Confirmed,,0,
,Sigilyph,081/191,Regular,,Confirmed,,0,
,Sigilyph,081/191,Reverse holo,,Confirmed,,0,
,Yamask,082/191,Regular,,Confirmed,,0,
,Yamask,082/191,Reverse holo,,Confirmed,,0,
,Cofagrigus,083/191,Regular,,Confirmed,,0,
,Cofagrigus,083/191,Reverse holo,,Confirmed,,0,
,Espurr,084/191,Regular,,Confirmed,,0,
,Espurr,084/191,Reverse holo,,Confirmed,,0,
,Meowstic,085/191,Regular,,Confirmed,,0,
,Meowstic,085/191,Reverse holo,,Confirmed,,0,
,Sylveon ex,086/191,Regular,,Confirmed,,0,
,Dedenne,087/191,Regular,,Confirmed,,0,
,Dedenne,087/191,Reverse holo,,Confirmed,,0,
,Xerneas,088/191,Regular,,Confirmed,,0,
,Xerneas,088/191,Reverse holo,,Confirmed,,0,
,Oricorio,089/191,Regular,,Confirmed,,0,
,Oricorio,089/191,Reverse holo,,Confirmed,,0,
,Sandygast,090/191,Regular,,Confirmed,,0,
,Sandygast,090/191,Reverse holo,,Confirmed,,0,
,Palossand ex,091/191,Regular,,Confirmed,,0,
,Tapu Lele,092/191,Regular,,Confirmed,,0,
,Tapu Lele,092/191,Reverse holo,,Confirmed,,0,
