Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Stunfisk,062/217,Regular,,Confirmed,,0,
,Stunfisk,062/217,Reverse holo,,Confirmed,,0,
,Helioptile,063/217,Regular,,Confirmed,,0,
,Helioptile,063/217,Reverse holo,,Confirmed,,0,
,Heliolisk,064/217,Regular,,Confirmed,,0,
,Heliolisk,064/217,Reverse holo,,Confirmed,,0,
,Charjabug,065/217,Regular,,Confirmed,,0,
,Charjabug,065/217,Reverse holo,,Confirmed,,0,
,Vikavolt,066/217,Regular,,Confirmed,,0,
,Vikavolt,066/217,Reverse holo,,Confirmed,,0,
,Tapu Koko,067/217,Regular,,Confirmed,,0,
,Tapu Koko,067/217,Reverse holo,,Confirmed,,0,
,Hop's Pincurchin ex,068/217,Regular,,Confirmed,,0,
,Iono's Tadbulb,069/217,Regular,,Confirmed,,0,
,Iono's Tadbulb,069/217,Reverse holo,,Confirmed,,0,
,Iono's Bellibolt ex,070/217,Regular,,Confirmed,,0,
,Iono's Wattrel,071/217,Regular,,Confirmed,,0,
,Iono's Wattrel,071/217,Reverse holo,,Confirmed,,0,
,Iono's Kilowattrel,072/217,Regular,,Confirmed,,0,
,Iono's Kilowattrel,072/217,Reverse holo,,Confirmed,,0,
,Miraidon ex,073/217,Regular,,Confirmed,,0,
,Clefairy,074/217,Regular,,Confirmed,,0,
,Clefairy,074/217,Reverse holo,,Confirmed,,0,
,Clefable,075/217,Regular,,Confirmed,,0,
,Clefable,075/217,Reverse holo,,Confirmed,,0,
,Lillie's Clefairy ex,076/217,Regular,,Confirmed,,0,
,Team Rocket's Exeggcute,077/217,Regular,,Confirmed,,0,
,Team Rocket's Exeggcute,077/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Exeggutor,078/217,Regular,,Confirmed,,0,
,Team Rocket's Exeggutor,078/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Mewtwo ex,079/217,Regular,,Confirmed,,0,
,Togepi,080/217,Regular,,Confirmed,,0,
,Togepi,080/217,Reverse holo,,Confirmed,,0,
,Togetic,081/217,Regular,,Confirmed,,0,
,Togetic,081/217,Reverse holo,,Confirmed,,0,
,Togekiss,082/217,Regular,,Confirmed,,0,
,Togekiss,082/217,Reverse holo,,Confirmed,,0,
,Marill,083/217,Regular,,Confirmed,,0,
,Marill,083/217,Reverse holo,,Confirmed,,0,
,Azumarill ex,084/217,Regular,,Confirmed,,0,
,Misdreavus,085/217,Regular,,Confirmed,,0,
,Misdreavus,085/217,Reverse holo,,Confirmed,,0,
,Mismagius,086/217,Regular,,Confirmed,,0,
,Mismagius,086/217,Reverse holo,,Confirmed,,0,
,Ralts,087/217,Regular,,Confirmed,,0,
,Ralts,087/217,Reverse holo,,Confirmed,,0,
,Kirlia,088/217,Regular,,Confirmed,,0,
,Kirlia,088/217,Reverse holo,,Confirmed,,0,
,Mega Gardevoir ex,089/217,Regular,,Confirmed,,0,
,Shuppet,090/217,Regular,,Confirmed,,0,
,Shuppet,090/217,Reverse holo,,Confirmed,,0,
,Banette,091/217,Regular,,Confirmed,,0,
,Banette,091/217,Reverse holo,,Confirmed,,0,
,Rotom,092/217,Regular,,Confirmed,,0,
,Rotom,092/217,Reverse holo,,Confirmed,,0,
,Swirlix,093/217,Regular,,Confirmed,,0,
,Swirlix,093/217,Reverse holo,,Confirmed,,0,
,Slurpuff,094/217,Regular,,Confirmed,,0,
,Slurpuff,094/217,Reverse holo,,Confirmed,,0,
,Hop's Phantump,095/217,Regular,,Confirmed,,0,
,Hop's Phantump,095/217,Reverse holo,,Confirmed,,0,
,Hop's Trevenant,096/217,Regular,,Confirmed,,0,
,Hop's Trevenant,096/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Mimikyu,097/217,Regular,,Confirmed,,0,
,Team Rocket's Mimikyu,097/217,Reverse holo,,Confirmed,,0,
,Spectrier,098/217,Regular,,Confirmed,,0,
,Spectrier,098/217,Reverse holo,,Confirmed,,0,
,Munkidori,099/217,Regular,,Confirmed,,0,
,Munkidori,099/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Diglett,100/217,Regular,,Confirmed,,0,
,Team Rocket's Diglett,100/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Dugtrio,101/217,Regular,,Confirmed,,0,
,Team Rocket's Dugtrio,101/217,Reverse holo,,Confirmed,,0,
,Hitmontop,102/217,Regular,,Confirmed,,0,
,Hitmontop,102/217,Reverse holo,,Confirmed,,0,
,Meditite,103/217,Regular,,Confirmed,,0,
,Meditite,103/217,Reverse holo,,Confirmed,,0,
,Medicham,104/217,Regular,,Confirmed,,0,
,Medicham,104/217,Reverse holo,,Confirmed,,0,
,Lunatone,105/217,Regular,,Confirmed,,0,
,Lunatone,105/217,Reverse holo,,Confirmed,,0,
,Solrock,106/217,Regular,,Confirmed,,0,
,Solrock,106/217,Reverse holo,,Confirmed,,0,
,Regirock ex,107/217,Regular,,Confirmed,,0,
,Groudon,108/217,Regular,,Confirmed,,0,
,Groudon,108/217,Reverse holo,,Confirmed,,0,
,Cynthia's Gible,109/217,Regular,,Confirmed,,0,
,Cynthia's Gible,109/217,Reverse holo,,Confirmed,,0,
,Cynthia's Gabite,110/217,Regular,,Confirmed,,0,
,Cynthia's Gabite,110/217,Reverse holo,,Confirmed,,0,
,Cynthia's Garchomp ex,111/217,Regular,,Confirmed,,0,
,Riolu,112/217,Regular,,Confirmed,,0,
,Riolu,112/217,Reverse holo,,Confirmed,,0,
,Mega Lucario ex,113/217,Regular,,Confirmed,,0,
,Stunfisk ex,114/217,Regular,,Confirmed,,0,
,Pancham,115/217,Regular,,Confirmed,,0,
,Pancham,115/217,Reverse holo,,Confirmed,,0,
,Mega Hawlucha ex,116/217,Regular,,Confirmed,,0,
,Carbink,117/217,Regular,,Confirmed,,0,
,Carbink,117/217,Reverse holo,,Confirmed,,0,
,Rolycoly,118/217,Regular,,Confirmed,,0,
,Rolycoly,118/217,Reverse holo,,Confirmed,,0,
,Carkol,119/217,Regular,,Confirmed,,0,
,Carkol,119/217,Reverse holo,,Confirmed,,0,
,Coalossal,120/217,Regular,,Confirmed,,0,
,Coalossal,120/217,Reverse holo,,Confirmed,,0,
,Koraidon ex,121/217,Regular,,Confirmed,,0,
,Okidogi,122/217,Regular,,Confirmed,,0,
,Okidogi,122/217,Reverse holo,,Confirmed,,0,
,Gastly,123/217,Regular,,Confirmed,,0,
,Gastly,123/217,Reverse holo,,Confirmed,,0,
,Haunter,124/217,Regular,,Confirmed,,0,
,Haunter,124/217,Reverse holo,,Confirmed,,0,
,Mega Gengar ex,125/217,Regular,,Confirmed,,0,
,Team Rocket's Murkrow,126/217,Regular,,Confirmed,,0,
,Team Rocket's Murkrow,126/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Honchkrow,127/217,Regular,,Confirmed,,0,
,Team Rocket's Honchkrow,127/217,Reverse holo,,Confirmed,,0,
,Poochyena,128/217,Regular,,Confirmed,,0,
,Poochyena,128/217,Reverse holo,,Confirmed,,0,
,Mightyena,129/217,Regular,,Confirmed,,0,
,Mightyena,129/217,Reverse holo,,Confirmed,,0,
,Galarian Zigzagoon,130/217,Regular,,Confirmed,,0,
,Galarian Zigzagoon,130/217,Reverse holo,,Confirmed,,0,
,Galarian Linoone,131/217,Regular,,Confirmed,,0,
,Galarian Linoone,131/217,Reverse holo,,Confirmed,,0,
,Galarian Obstagoon,132/217,Regular,,Confirmed,,0,
,Galarian Obstagoon,132/217,Reverse holo,,Confirmed,,0,
,Cynthia's Spiritomb,133/217,Regular,,Confirmed,,0,
,Cynthia's Spiritomb,133/217,Reverse holo,,Confirmed,,0,
,Scraggy,134/217,Regular,,Confirmed,,0,
,Scraggy,134/217,Reverse holo,,Confirmed,,0,
,Mega Scrafty ex,135/217,Regular,,Confirmed,,0,
,N's Zorua,136/217,Regular,,Confirmed,,0,
,N's Zorua,136/217,Reverse holo,,Confirmed,,0,
,N's Zoroark ex,137/217,Regular,,Confirmed,,0,
,Vullaby,138/217,Regular,,Confirmed,,0,
,Vullaby,138/217,Reverse holo,,Confirmed,,0,
,Mandibuzz ex,139/217,Regular,,Confirmed,,0,
,Pangoro,140/217,Regular,,Confirmed,,0,
,Pangoro,140/217,Reverse holo,,Confirmed,,0,
,Hoopa,141/217,Regular,,Confirmed,,0,
,Hoopa,141/217,Reverse holo,,Confirmed,,0,
,Fezandipiti ex,142/217,Regular,,Confirmed,,0,
,Pecharunt,143/217,Regular,,Confirmed,,0,
,Pecharunt,143/217,Reverse holo,,Confirmed,,0,
,Mawile,144/217,Regular,,Confirmed,,0,
,Mawile,144/217,Reverse holo,,Confirmed,,0,
,Registeel ex,145/217,Regular,,Confirmed,,0,
,Pawniard,146/217,Regular,,Confirmed,,0,
,Pawniard,146/217,Reverse holo,,Confirmed,,0,
,Bisharp,147/217,Regular,,Confirmed,,0,
,Bisharp,147/217,Reverse holo,,Confirmed,,0,
,Kingambit,148/217,Regular,,Confirmed,,0,
,Kingambit,148/217,Reverse holo,,Confirmed,,0,
,Togedemaru ex,149/217,Regular,,Confirmed,,0,
,Dratini,150/217,Regular,,Confirmed,,0,
,Dratini,150/217,Reverse holo,,Confirmed,,0,
,Dragonair,151/217,Regular,,Confirmed,,0,
,Dragonair,151/217,Reverse holo,,Confirmed,,0,
,Mega Dragonite ex,152/217,Regular,,Confirmed,,0,
,Rayquaza,153/217,Regular,,Confirmed,,0,
,Rayquaza,153/217,Reverse holo,,Confirmed,,0,
,N's Reshiram,154/217,Regular,,Confirmed,,0,
,N's Reshiram,154/217,Reverse holo,,Confirmed,,0,
,N's Zekrom,155/217,Regular,,Confirmed,,0,
,N's Zekrom,155/217,Reverse holo,,Confirmed,,0,
,Noibat,156/217,Regular,,Confirmed,,0,
,Noibat,156/217,Reverse holo,,Confirmed,,0,
,Noivern,157/217,Regular,,Confirmed,,0,
,Noivern,157/217,Reverse holo,,Confirmed,,0,
,Dreepy,158/217,Regular,,Confirmed,,0,
,Dreepy,158/217,Reverse holo,,Confirmed,,0,
,Drakloak,159/217,Regular,,Confirmed,,0,
,Drakloak,159/217,Reverse holo,,Confirmed,,0,
,Dragapult ex,160/217,Regular,,Confirmed,,0,
,Team Rocket's Meowth,161/217,Regular,,Confirmed,,0,
,Team Rocket's Meowth,161/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Kangaskhan ex,162/217,Regular,,Confirmed,,0,
,Larry's Dunsparce,163/217,Regular,,Confirmed,,0,
,Larry's Dunsparce,163/217,Reverse holo,,Confirmed,,0,
,Larry's Dudunsparce ex,164/217,Regular,,Confirmed,,0,
,Skitty,165/217,Regular,,Confirmed,,0,
,Skitty,165/217,Reverse holo,,Confirmed,,0,
,Delcatty,166/217,Regular,,Confirmed,,0,
,Delcatty,166/217,Reverse holo,,Confirmed,,0,
,Zangoose ex,167/217,Regular,,Confirmed,,0,
,Larry's Starly,168/217,Regular,,Confirmed,,0,
,Larry's Starly,168/217,Reverse holo,,Confirmed,,0,
,Larry's Staravia,169/217,Regular,,Confirmed,,0,
,Larry's Staravia,169/217,Reverse holo,,Confirmed,,0,
,Larry's Staraptor,170/217,Regular,,Confirmed,,0,
,Larry's Staraptor,170/217,Reverse holo,,Confirmed,,0,
,Fan Rotom,171/217,Regular,,Confirmed,,0,
,Fan Rotom,171/217,Reverse holo,,Confirmed,,0,
,Mega Audino ex,172/217,Regular,,Confirmed,,0,
,Larry's Rufflet,173/217,Regular,,Confirmed,,0,
,Larry's Rufflet,173/217,Reverse holo,,Confirmed,,0,
,Larry's Braviary,174/217,Regular,,Confirmed,,0,
,Larry's Braviary,174/217,Reverse holo,,Confirmed,,0,
,Larry's Komala,175/217,Regular,,Confirmed,,0,
,Larry's Komala,175/217,Reverse holo,,Confirmed,,0,
,Drampa,176/217,Regular,,Confirmed,,0,
,Drampa,176/217,Reverse holo,,Confirmed,,0,
,Hop's Cramorant,177/217,Regular,,Confirmed,,0,
,Hop's Cramorant,177/217,Reverse holo,,Confirmed,,0,
,Terapagos,178/217,Regular,,Confirmed,,0,
,Terapagos,178/217,Reverse holo,,Confirmed,,0,
,Terapagos ex,179/217,Regular,,Confirmed,,0,
,Acerola's Mischief,180/217,Regular,,Confirmed,,0,
,Acerola's Mischief,180/217,Reverse holo,,Confirmed,,0,
,Air Balloon,181/217,Regular,,Confirmed,,0,
,Air Balloon,181/217,Reverse holo,,Confirmed,,0,
,Anthea & Concordia,182/217,Regular,,Confirmed,,0,
,Anthea & Concordia,182/217,Reverse holo,,Confirmed,,0,
,Boss's Orders,183/217,Regular,,Confirmed,,0,
,Boss's Orders,183/217,Reverse holo,,Confirmed,,0,
,Buddy-Buddy Poffin,184/217,Regular,,Confirmed,,0,
,Buddy-Buddy Poffin,184/217,Reverse holo,,Confirmed,,0,
,Canari,185/217,Regular,,Confirmed,,0,
,Canari,185/217,Reverse holo,,Confirmed,,0,
,Counter Gain,186/217,Regular,,Confirmed,,0,
,Counter Gain,186/217,Reverse holo,,Confirmed,,0,
,Fighting Gong,187/217,Regular,,Confirmed,,0,
,Fighting Gong,187/217,Reverse holo,,Confirmed,,0,
,Forest of Vitality,188/217,Regular,,Confirmed,,0,
,Forest of Vitality,188/217,Reverse holo,,Confirmed,,0,
,Glass Trumpet,189/217,Regular,,Confirmed,,0,
,Glass Trumpet,189/217,Reverse holo,,Confirmed,,0,
,Iris's Fighting Spirit,190/217,Regular,,Confirmed,,0,
,Iris's Fighting Spirit,190/217,Reverse holo,,Confirmed,,0,
,Light Ball,191/217,Regular,,Confirmed,,0,
,Light Ball,191/217,Reverse holo,,Confirmed,,0,
,Lillie's Determination,192/217,Regular,,Confirmed,,0,
,Lillie's Determination,192/217,Reverse holo,,Confirmed,,0,
,Mega Signal,193/217,Regular,,Confirmed,,0,
,Mega Signal,193/217,Reverse holo,,Confirmed,,0,
,Mystery Garden,194/217,Regular,,Confirmed,,0,
,Mystery Garden,194/217,Reverse holo,,Confirmed,,0,
,N's PP Up,195/217,Regular,,Confirmed,,0,
,N's PP Up,195/217,Reverse holo,,Confirmed,,0,
,Night Stretcher,196/217,Regular,,Confirmed,,0,
,Night Stretcher,196/217,Reverse holo,,Confirmed,,0,
,Nighttime Mine,197/217,Regular,,Confirmed,,0,
,Nighttime Mine,197/217,Reverse holo,,Confirmed,,0,
,Poké Pad,198/217,Regular,,Confirmed,,0,
,Poké Pad,198/217,Reverse holo,,Confirmed,,0,
,Premium Power Pro,199/217,Regular,,Confirmed,,0,
,Premium Power Pro,199/217,Reverse holo,,Confirmed,,0,
,Surfer,200/217,Regular,,Confirmed,,0,
,Surfer,200/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Archer,201/217,Regular,,Confirmed,,0,
,Team Rocket's Archer,201/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Ariana,202/217,Regular,,Confirmed,,0,
,Team Rocket's Ariana,202/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Factory,203/217,Regular,,Confirmed,,0,
,Team Rocket's Factory,203/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Giovanni,204/217,Regular,,Confirmed,,0,
,Team Rocket's Giovanni,204/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Great Ball,205/217,Regular,,Confirmed,,0,
,Team Rocket's Great Ball,205/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Hypnotizer,206/217,Regular,,Confirmed,,0,
,Team Rocket's Hypnotizer,206/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Petrel,207/217,Regular,,Confirmed,,0,
,Team Rocket's Petrel,207/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Proton,208/217,Regular,,Confirmed,,0,
,Team Rocket's Proton,208/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Transceiver,209/217,Regular,,Confirmed,,0,
,Team Rocket's Transceiver,209/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Watchtower,210/217,Regular,,Confirmed,,0,
,Team Rocket's Watchtower,210/217,Reverse holo,,Confirmed,,0,
,Thick Scale,211/217,Regular,,Confirmed,,0,
,Thick Scale,211/217,Reverse holo,,Confirmed,,0,
,Tool Scrapper,212/217,Regular,,Confirmed,,0,
,Tool Scrapper,212/217,Reverse holo,,Confirmed,,0,
,Ultra Ball,213/217,Regular,,Confirmed,,0,
,Ultra Ball,213/217,Reverse holo,,Confirmed,,0,
,Urbain,214/217,Regular,,Confirmed,,0,
,Urbain,214/217,Reverse holo,,Confirmed,,0,
,Waitress,215/217,Regular,,Confirmed,,0,
,Waitress,215/217,Reverse holo,,Confirmed,,0,
,Prism Energy,216/217,Regular,,Confirmed,,0,
,Prism Energy,216/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Energy,217/217,Regular,,Confirmed,,0,
,Team Rocket's Energy,217/217,Reverse holo,,Confirmed,,0,
,Erika's Tangela,218/217,Regular,,Confirmed,,0,
,Beautifly,219/217,Regular,,Confirmed,,0,
,Dustox,220/217,Regular,,Confirmed,,0,
,Budew,221/217,Regular,,Confirmed,,0,
,Ethan's Magcargo,222/217,Regular,,Confirmed,,0,
,Numel,223/217,Regular,,Confirmed,,0,
,Salazzle,224/217,Regular,,Confirmed,,0,
,Scorbunny,225/217,Regular,,Confirmed,,0,
,Psyduck,226/217,Regular,,Confirmed,,0,
,Snorunt,227/217,Regular,,Confirmed,,0,
,Weavile,228/217,Regular,,Confirmed,,0,
,Heliolisk,229/217,Regular,,Confirmed,,0,
,Vikavolt,230/217,Regular,,Confirmed,,0,
,Iono's Wattrel,231/217,Regular,,Confirmed,,0,
,Marill,232/217,Regular,,Confirmed,,0,
,Misdreavus,233/217,Regular,,Confirmed,,0,
,Banette,234/217,Regular,,Confirmed,,0,
,Togekiss,235/217,Regular,,Confirmed,,0,
,Slurpuff,236/217,Regular,,Confirmed,,0,
,Hop's Trevenant,237/217,Regular,,Confirmed,,0,
,Team Rocket's Mimikyu,238/217,Regular,,Confirmed,,0,
,Team Rocket's Dugtrio,239/217,Regular,,Confirmed,,0,
,Hitmontop,240/217,Regular,,Confirmed,,0,
,Medicham,241/217,Regular,,Confirmed,,0,
,Carbink,242/217,Regular,,Confirmed,,0,
,Mightyena,243/217,Regular,,Confirmed,,0,
,Cynthia's Spiritomb,244/217,Regular,,Confirmed,,0,
,Galarian Obstagoon,245/217,Regular,,Confirmed,,0,
,Mawile,246/217,Regular,,Confirmed,,0,
,Dreepy,247/217,Regular,,Confirmed,,0,
,Drakloak,248/217,Regular,,Confirmed,,0,
