Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Chien-Pao ex,061/193,Regular,,Confirmed,,0,
,Pikachu,062/193,Regular,,Confirmed,,0,
,Pikachu,062/193,Reverse holo,,Confirmed,,0,
,Pikachu ex,063/193,Regular,,Confirmed,,0,
,Raichu,064/193,Regular,,Confirmed,,0,
,Raichu,064/193,Reverse holo,,Confirmed,,0,
,Magnemite,065/193,Regular,,Confirmed,,0,
,Magnemite,065/193,Reverse holo,,Confirmed,,0,
,Voltorb,066/193,Regular,,Confirmed,,0,
,Voltorb,066/193,Reverse holo,,Confirmed,,0,
,Electrode,067/193,Regular,,Confirmed,,0,
,Electrode,067/193,Reverse holo,,Confirmed,,0,
,Shinx,068/193,Regular,,Confirmed,,0,
,Shinx,068/193,Reverse holo,,Confirmed,,0,
,Shinx,069/193,Regular,,Confirmed,,0,
,Shinx,069/193,Reverse holo,,Confirmed,,0,
,Luxio,070/193,Regular,,Confirmed,,0,
,Luxio,070/193,Reverse holo,,Confirmed,,0,
,Luxray,071/193,Regular,,Confirmed,,0,
,Luxray,071/193,Reverse holo,,Confirmed,,0,
,Pincurchin,072/193,Regular,,Confirmed,,0,
,Pincurchin,072/193,Reverse holo,,Confirmed,,0,
,Pincurchin,073/193,Regular,,Confirmed,,0,
,Pincurchin,073/193,Reverse holo,,Confirmed,,0,
,Pawmi,074/193,Regular,,Confirmed,,0,
,Pawmi,074/193,Reverse holo,,Confirmed,,0,
,Pawmo,075/193,Regular,,Confirmed,,0,
,Pawmo,075/193,Reverse holo,,Confirmed,,0,
,Pawmot,076/193,Regular,,Confirmed,,0,
,Pawmot,076/193,Reverse holo,,Confirmed,,0,
,Tadbulb,077/193,Regular,,Confirmed,,0,
,Tadbulb,077/193,Reverse holo,,Confirmed,,0,
,Tadbulb,078/193,Regular,,Confirmed,,0,
,Tadbulb,078/193,Reverse holo,,Confirmed,,0,
,Bellibolt ex,079/193,Regular,,Confirmed,,0,
,Wattrel,080/193,Regular,,Confirmed,,0,
,Wattrel,080/193,Reverse holo,,Confirmed,,0,
,Wattrel,081/193,Regular,,Confirmed,,0,
,Wattrel,081/193,Reverse holo,,Confirmed,,0,
,Kilowattrel,082/193,Regular,,Confirmed,,0,
,Kilowattrel,082/193,Reverse holo,,Confirmed,,0,
,Jigglypuff,083/193,Regular,,Confirmed,,0,
,Jigglypuff,083/193,Reverse holo,,Confirmed,,0,
,Wigglytuff,084/193,Regular,,Confirmed,,0,
,Wigglytuff,084/193,Reverse holo,,Confirmed,,0,
,Slowpoke,085/193,Regular,,Confirmed,,0,
,Slowpoke,085/193,Reverse holo,,Confirmed,,0,
,Slowking ex,086/193,Regular,,Confirmed,,0,
,Misdreavus,087/193,Regular,,Confirmed,,0,
,Misdreavus,087/193,Reverse holo,,Confirmed,,0,
,Mismagius,088/193,Regular,,Confirmed,,0,
,Mismagius,088/193,Reverse holo,,Confirmed,,0,
,Spiritomb,089/193,Regular,,Confirmed,,0,
,Spiritomb,089/193,Reverse holo,,Confirmed,,0,
,Gothita,090/193,Regular,,Confirmed,,0,
,Gothita,090/193,Reverse holo,,Confirmed,,0,
,Gothorita,091/193,Regular,,Confirmed,,0,
,Gothorita,091/193,Reverse holo,,Confirmed,,0,
,Gothitelle,092/193,Regular,,Confirmed,,0,
,Gothitelle,092/193,Reverse holo,,Confirmed,,0,
,Dedenne ex,093/193,Regular,,Confirmed,,0,
,Oranguru,094/193,Regular,,Confirmed,,0,
,Oranguru,094/193,Reverse holo,,Confirmed,,0,
,Sandygast,095/193,Regular,,Confirmed,,0,
,Sandygast,095/193,Reverse holo,,Confirmed,,0,
,Palossand,096/193,Regular,,Confirmed,,0,
,Palossand,096/193,Reverse holo,,Confirmed,,0,
,Mimikyu,097/193,Regular,,Confirmed,,0,
,Mimikyu,097/193,Reverse holo,,Confirmed,,0,
,Ceruledge,098/193,Regular,,Confirmed,,0,
,Ceruledge,098/193,Reverse holo,,Confirmed,,0,
,Rabsca,099/193,Regular,,Confirmed,,0,
,Rabsca,099/193,Reverse holo,,Confirmed,,0,
,Tinkatink,100/193,Regular,,Confirmed,,0,
,Tinkatink,100/193,Reverse holo,,Confirmed,,0,
,Tinkatink,101/193,Regular,,Confirmed,,0,
,Tinkatink,101/193,Reverse holo,,Confirmed,,0,
,Tinkatink,102/193,Regular,,Confirmed,,0,
,Tinkatink,102/193,Reverse holo,,Confirmed,,0,
,Tinkatuff,103/193,Regular,,Confirmed,,0,
,Tinkatuff,103/193,Reverse holo,,Confirmed,,0,
,Tinkatuff,104/193,Regular,,Confirmed,,0,
,Tinkatuff,104/193,Reverse holo,,Confirmed,,0,
,Tinkaton,105/193,Regular,,Confirmed,,0,
,Tinkaton,105/193,Reverse holo,,Confirmed,,0,
,Mankey,106/193,Regular,,Confirmed,,0,
,Mankey,106/193,Reverse holo,,Confirmed,,0,
,Primeape,107/193,Regular,,Confirmed,,0,
,Primeape,107/193,Reverse holo,,Confirmed,,0,
,Paldean Tauros,108/193,Regular,,Confirmed,,0,
,Paldean Tauros,108/193,Reverse holo,,Confirmed,,0,
,Sudowoodo,109/193,Regular,,Confirmed,,0,
,Sudowoodo,109/193,Reverse holo,,Confirmed,,0,
,Larvitar,110/193,Regular,,Confirmed,,0,
,Larvitar,110/193,Reverse holo,,Confirmed,,0,
,Pupitar,111/193,Regular,,Confirmed,,0,
,Pupitar,111/193,Reverse holo,,Confirmed,,0,
,Makuhita,112/193,Regular,,Confirmed,,0,
,Makuhita,112/193,Reverse holo,,Confirmed,,0,
,Hariyama,113/193,Regular,,Confirmed,,0,
,Hariyama,113/193,Reverse holo,,Confirmed,,0,
,Croagunk,114/193,Regular,,Confirmed,,0,
,Croagunk,114/193,Reverse holo,,Confirmed,,0,
,Toxicroak,115/193,Regular,,Confirmed,,0,
,Toxicroak,115/193,Reverse holo,,Confirmed,,0,
,Rockruff,116/193,Regular,,Confirmed,,0,
,Rockruff,116/193,Reverse holo,,Confirmed,,0,
,Lycanroc ex,117/193,Regular,,Confirmed,,0,
,Passimian,118/193,Regular,,Confirmed,,0,
,Passimian,118/193,Reverse holo,,Confirmed,,0,
,Falinks,119/193,Regular,,Confirmed,,0,
,Falinks,119/193,Reverse holo,,Confirmed,,0,
,Nacli,120/193,Regular,,Confirmed,,0,
,Nacli,120/193,Reverse holo,,Confirmed,,0,
,Nacli,121/193,Regular,,Confirmed,,0,
,Nacli,121/193,Reverse holo,,Confirmed,,0,
,Naclstack,122/193,Regular,,Confirmed,,0,
,Naclstack,122/193,Reverse holo,,Confirmed,,0,
,Garganacl,123/193,Regular,,Confirmed,,0,
,Garganacl,123/193,Reverse holo,,Confirmed,,0,
,Glimmet,124/193,Regular,,Confirmed,,0,
,Glimmet,124/193,Reverse holo,,Confirmed,,0,
,Glimmet,125/193,Regular,,Confirmed,,0,
,Glimmet,125/193,Reverse holo,,Confirmed,,0,
,Glimmora,126/193,Regular,,Confirmed,,0,
,Glimmora,126/193,Reverse holo,,Confirmed,,0,
,Ting-Lu ex,127/193,Regular,,Confirmed,,0,
,Paldean Wooper,128/193,Regular,,Confirmed,,0,
,Paldean Wooper,128/193,Reverse holo,,Confirmed,,0,
,Paldean Wooper,129/193,Regular,,Confirmed,,0,
,Paldean Wooper,129/193,Reverse holo,,Confirmed,,0,
,Paldean Clodsire ex,130/193,Regular,,Confirmed,,0,
,Murkrow,131/193,Regular,,Confirmed,,0,
,Murkrow,131/193,Reverse holo,,Confirmed,,0,
,Honchkrow,132/193,Regular,,Confirmed,,0,
,Honchkrow,132/193,Reverse holo,,Confirmed,,0,
,Sneasel,133/193,Regular,,Confirmed,,0,
,Sneasel,133/193,Reverse holo,,Confirmed,,0,
,Weavile,134/193,Regular,,Confirmed,,0,
,Weavile,134/193,Reverse holo,,Confirmed,,0,
,Tyranitar,135/193,Regular,,Confirmed,,0,
,Tyranitar,135/193,Reverse holo,,Confirmed,,0,
,Sableye,136/193,Regular,,Confirmed,,0,
,Sableye,136/193,Reverse holo,,Confirmed,,0,
,Seviper,137/193,Regular,,Confirmed,,0,
,Seviper,137/193,Reverse holo,,Confirmed,,0,
,Deino,138/193,Regular,,Confirmed,,0,
,Deino,138/193,Reverse holo,,Confirmed,,0,
,Zweilous,139/193,Regular,,Confirmed,,0,
,Zweilous,139/193,Reverse holo,,Confirmed,,0,
,Hydreigon,140/193,Regular,,Confirmed,,0,
,Hydreigon,140/193,Reverse holo,,Confirmed,,0,
,Maschiff,141/193,Regular,,Confirmed,,0,
,Maschiff,141/193,Reverse holo,,Confirmed,,0,
,Maschiff,142/193,Regular,,Confirmed,,0,
,Maschiff,142/193,Reverse holo,,Confirmed,,0,
,Mabosstiff,143/193,Regular,,Confirmed,,0,
,Mabosstiff,143/193,Reverse holo,,Confirmed,,0,
,Shroodle,144/193,Regular,,Confirmed,,0,
,Shroodle,144/193,Reverse holo,,Confirmed,,0,
,Shroodle,145/193,Regular,,Confirmed,,0,
,Shroodle,145/193,Reverse holo,,Confirmed,,0,
,Grafaiai,146/193,Regular,,Confirmed,,0,
,Grafaiai,146/193,Reverse holo,,Confirmed,,0,
,Bombirdier,147/193,Regular,,Confirmed,,0,
,Bombirdier,147/193,Reverse holo,,Confirmed,,0,
,Corviknight,148/193,Regular,,Confirmed,,0,
,Corviknight,148/193,Reverse holo,,Confirmed,,0,
