Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Mega Gardevoir ex,060/132,Regular,,Confirmed,,0,
,Shedinja,061/132,Regular,,Confirmed,,0,
,Shedinja,061/132,Reverse holo,,Confirmed,,0,
,Spoink,062/132,Regular,,Confirmed,,0,
,Spoink,062/132,Reverse holo,,Confirmed,,0,
,Grumpig,063/132,Regular,,Confirmed,,0,
,Grumpig,063/132,Reverse holo,,Confirmed,,0,
,Xerneas,064/132,Regular,,Confirmed,,0,
,Xerneas,064/132,Reverse holo,,Confirmed,,0,
,Greavard,065/132,Regular,,Confirmed,,0,
,Greavard,065/132,Reverse holo,,Confirmed,,0,
,Houndstone,066/132,Regular,,Confirmed,,0,
,Houndstone,066/132,Reverse holo,,Confirmed,,0,
,Gimmighoul,067/132,Regular,,Confirmed,,0,
,Gimmighoul,067/132,Reverse holo,,Confirmed,,0,
,Sandshrew,068/132,Regular,,Confirmed,,0,
,Sandshrew,068/132,Reverse holo,,Confirmed,,0,
,Sandslash,069/132,Regular,,Confirmed,,0,
,Sandslash,069/132,Reverse holo,,Confirmed,,0,
,Onix,070/132,Regular,,Confirmed,,0,
,Onix,070/132,Reverse holo,,Confirmed,,0,
,Tyrogue,071/132,Regular,,Confirmed,,0,
,Tyrogue,071/132,Reverse holo,,Confirmed,,0,
,Makuhita,072/132,Regular,,Confirmed,,0,
,Makuhita,072/132,Reverse holo,,Confirmed,,0,
,Hariyama,073/132,Regular,,Confirmed,,0,
,Hariyama,073/132,Reverse holo,,Confirmed,,0,
,Lunatone,074/132,Regular,,Confirmed,,0,
,Lunatone,074/132,Reverse holo,,Confirmed,,0,
,Solrock,075/132,Regular,,Confirmed,,0,
,Solrock,075/132,Reverse holo,,Confirmed,,0,
,Riolu,076/132,Regular,,Confirmed,,0,
,Riolu,076/132,Reverse holo,,Confirmed,,0,
,Mega Lucario ex,077/132,Regular,,Confirmed,,0,
,Croagunk,078/132,Regular,,Confirmed,,0,
,Croagunk,078/132,Reverse holo,,Confirmed,,0,
,Toxicroak,079/132,Regular,,Confirmed,,0,
,Toxicroak,079/132,Reverse holo,,Confirmed,,0,
,Marshadow,080/132,Regular,,Confirmed,,0,
,Marshadow,080/132,Reverse holo,,Confirmed,,0,
,Stonjourner,081/132,Regular,,Confirmed,,0,
,Stonjourner,081/132,Reverse holo,,Confirmed,,0,
,Nacli,082/132,Regular,,Confirmed,,0,
,Nacli,082/132,Reverse holo,,Confirmed,,0,
,Naclstack,083/132,Regular,,Confirmed,,0,
,Naclstack,083/132,Reverse holo,,Confirmed,,0,
,Garganacl,084/132,Regular,,Confirmed,,0,
,Garganacl,084/132,Reverse holo,,Confirmed,,0,
,Crawdaunt,085/132,Regular,,Confirmed,,0,
,Crawdaunt,085/132,Reverse holo,,Confirmed,,0,
,Mega Absol ex,086/132,Regular,,Confirmed,,0,
,Spiritomb,087/132,Regular,,Confirmed,,0,
,Spiritomb,087/132,Reverse holo,,Confirmed,,0,
,Yveltal,088/132,Regular,,Confirmed,,0,
,Yveltal,088/132,Reverse holo,,Confirmed,,0,
,Nickit,089/132,Regular,,Confirmed,,0,
,Nickit,089/132,Reverse holo,,Confirmed,,0,
,Thievul,090/132,Regular,,Confirmed,,0,
,Thievul,090/132,Reverse holo,,Confirmed,,0,
,Shroodle,091/132,Regular,,Confirmed,,0,
,Shroodle,091/132,Reverse holo,,Confirmed,,0,
,Grafaiai,092/132,Regular,,Confirmed,,0,
,Grafaiai,092/132,Reverse holo,,Confirmed,,0,
,Steelix,093/132,Regular,,Confirmed,,0,
,Steelix,093/132,Reverse holo,,Confirmed,,0,
,Mega Mawile ex,094/132,Regular,,Confirmed,,0,
,Dialga,095/132,Regular,,Confirmed,,0,
,Dialga,095/132,Reverse holo,,Confirmed,,0,
,Tinkatink,096/132,Regular,,Confirmed,,0,
,Tinkatink,096/132,Reverse holo,,Confirmed,,0,
,Tinkatuff,097/132,Regular,,Confirmed,,0,
,Tinkatuff,097/132,Reverse holo,,Confirmed,,0,
,Tinkaton,098/132,Regular,,Confirmed,,0,
,Tinkaton,098/132,Reverse holo,,Confirmed,,0,
,Gholdengo,099/132,Regular,,Confirmed,,0,
,Gholdengo,099/132,Reverse holo,,Confirmed,,0,
,Mega Latias ex,100/132,Regular,,Confirmed,,0,
,Latios,101/132,Regular,,Confirmed,,0,
,Latios,101/132,Reverse holo,,Confirmed,,0,
,Spearow,102/132,Regular,,Confirmed,,0,
,Spearow,102/132,Reverse holo,,Confirmed,,0,
,Fearow,103/132,Regular,,Confirmed,,0,
,Fearow,103/132,Reverse holo,,Confirmed,,0,
,Mega Kangaskhan ex,104/132,Regular,,Confirmed,,0,
,Delibird,105/132,Regular,,Confirmed,,0,
,Delibird,105/132,Reverse holo,,Confirmed,,0,
,Miltank,106/132,Regular,,Confirmed,,0,
,Miltank,106/132,Reverse holo,,Confirmed,,0,
,Buneary,107/132,Regular,,Confirmed,,0,
,Buneary,107/132,Reverse holo,,Confirmed,,0,
,Lopunny,108/132,Regular,,Confirmed,,0,
,Lopunny,108/132,Reverse holo,,Confirmed,,0,
,Yungoos,109/132,Regular,,Confirmed,,0,
,Yungoos,109/132,Reverse holo,,Confirmed,,0,
,Gumshoos,110/132,Regular,,Confirmed,,0,
,Gumshoos,110/132,Reverse holo,,Confirmed,,0,
,Stufful,111/132,Regular,,Confirmed,,0,
,Stufful,111/132,Reverse holo,,Confirmed,,0,
,Bewear,112/132,Regular,,Confirmed,,0,
,Bewear,112/132,Reverse holo,,Confirmed,,0,
,Acerola's Mischief,113/132,Regular,,Confirmed,,0,
,Acerola's Mischief,113/132,Reverse holo,,Confirmed,,0,
,Boss's Orders,114/132,Regular,,Confirmed,,0,
,Boss's Orders,114/132,Reverse holo,,Confirmed,,0,
,Energy Switch,115/132,Regular,,Confirmed,,0,
,Energy Switch,115/132,Reverse holo,,Confirmed,,0,
,Fighting Gong,116/132,Regular,,Confirmed,,0,
,Fighting Gong,116/132,Reverse holo,,Confirmed,,0,
,Forest of Vitality,117/132,Regular,,Confirmed,,0,
,Forest of Vitality,117/132,Reverse holo,,Confirmed,,0,
,Iron Defender,118/132,Regular,,Confirmed,,0,
,Iron Defender,118/132,Reverse holo,,Confirmed,,0,
,Lillie's Determination,119/132,Regular,,Confirmed,,0,
,Lillie's Determination,119/132,Reverse holo,,Confirmed,,0,
,Lt. Surge's Bargain,120/132,Regular,,Confirmed,,0,
,Lt. Surge's Bargain,120/132,Reverse holo,,Confirmed,,0,
,Mega Signal,121/132,Regular,,Confirmed,,0,
,Mega Signal,121/132,Reverse holo,,Confirmed,,0,
,Mystery Garden,122/132,Regular,,Confirmed,,0,
,Mystery Garden,122/132,Reverse holo,,Confirmed,,0,
,Pokémon Center Lady,123/132,Regular,,Confirmed,,0,
,Pokémon Center Lady,123/132,Reverse holo,,Confirmed,,0,
,Premium Power Pro,124/132,Regular,,Confirmed,,0,
,Premium Power Pro,124/132,Reverse holo,,Confirmed,,0,
,Rare Candy,125/132,Regular,,Confirmed,,0,
,Rare Candy,125/132,Reverse holo,,Confirmed,,0,
,Repel,126/132,Regular,,Confirmed,,0,
,Repel,126/132,Reverse holo,,Confirmed,,0,
,Risky Ruins,127/132,Regular,,Confirmed,,0,
,Risky Ruins,127/132,Reverse holo,,Confirmed,,0,
,Strange Timepiece,128/132,Regular,,Confirmed,,0,
