Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Garbodor,060/086,Reverse holo,,Confirmed,,0,
,Zorua,061/086,Regular,,Confirmed,,0,
,Zorua,061/086,Reverse holo,,Confirmed,,0,
,Zoroark,062/086,Regular,,Confirmed,,0,
,Zoroark,062/086,Reverse holo,,Confirmed,,0,
,Vullaby,063/086,Regular,,Confirmed,,0,
,Vullaby,063/086,Reverse holo,,Confirmed,,0,
,Mandibuzz,064/086,Regular,,Confirmed,,0,
,Mandibuzz,064/086,Reverse holo,,Confirmed,,0,
,Deino,065/086,Regular,,Confirmed,,0,
,Deino,065/086,Reverse holo,,Confirmed,,0,
,Zweilous,066/086,Regular,,Confirmed,,0,
,Zweilous,066/086,Reverse holo,,Confirmed,,0,
,Hydreigon ex,067/086,Regular,,Confirmed,,0,
,Ferroseed,068/086,Regular,,Confirmed,,0,
,Ferroseed,068/086,Reverse holo,,Confirmed,,0,
,Ferrothorn,069/086,Regular,,Confirmed,,0,
,Ferrothorn,069/086,Reverse holo,,Confirmed,,0,
,Durant,070/086,Regular,,Confirmed,,0,
,Durant,070/086,Reverse holo,,Confirmed,,0,
,Druddigon,071/086,Regular,,Confirmed,,0,
,Druddigon,071/086,Reverse holo,,Confirmed,,0,
,Patrat,072/086,Regular,,Confirmed,,0,
,Patrat,072/086,Reverse holo,,Confirmed,,0,
,Watchog,073/086,Regular,,Confirmed,,0,
,Watchog,073/086,Reverse holo,,Confirmed,,0,
,Lillipup,074/086,Regular,,Confirmed,,0,
,Lillipup,074/086,Reverse holo,,Confirmed,,0,
,Herdier,075/086,Regular,,Confirmed,,0,
,Herdier,075/086,Reverse holo,,Confirmed,,0,
,Stoutland,076/086,Regular,,Confirmed,,0,
,Stoutland,076/086,Reverse holo,,Confirmed,,0,
,Bouffalant ex,077/086,Regular,,Confirmed,,0,
,Tornadus,078/086,Regular,,Confirmed,,0,
,Tornadus,078/086,Reverse holo,,Confirmed,,0,
,Antique Plume Fossil,079/086,Regular,,Confirmed,,0,
,Antique Plume Fossil,079/086,Reverse holo,,Confirmed,,0,
,Brave Bangle,080/086,Regular,,Confirmed,,0,
,Brave Bangle,080/086,Reverse holo,,Confirmed,,0,
,Cheren,081/086,Regular,,Confirmed,,0,
,Cheren,081/086,Reverse holo,,Confirmed,,0,
,Energy Retrieval,082/086,Regular,,Confirmed,,0,
,Energy Retrieval,082/086,Reverse holo,,Confirmed,,0,
,Harlequin,083/086,Regular,,Confirmed,,0,
,Harlequin,083/086,Reverse holo,,Confirmed,,0,
,Hilda,084/086,Regular,,Confirmed,,0,
,Hilda,084/086,Reverse holo,,Confirmed,,0,
,Tool Scrapper,085/086,Regular,,Confirmed,,0,
,Tool Scrapper,085/086,Reverse holo,,Confirmed,,0,
,Ignition Energy,086/086,Regular,,Confirmed,,0,
,Ignition Energy,086/086,Reverse holo,,Confirmed,,0,
,Sewaddle,087/086,Regular,,Confirmed,,0,
,Swadloon,088/086,Regular,,Confirmed,,0,
,Leavanny,089/086,Regular,,Confirmed,,0,
,Cottonee,090/086,Regular,,Confirmed,,0,
,Deerling,091/086,Regular,,Confirmed,,0,
,Sawsbuck,092/086,Regular,,Confirmed,,0,
,Shelmet,093/086,Regular,,Confirmed,,0,
,Accelgor,094/086,Regular,,Confirmed,,0,
,Virizion,095/086,Regular,,Confirmed,,0,
,Tepig,096/086,Regular,,Confirmed,,0,
,Pignite,097/086,Regular,,Confirmed,,0,
,Emboar,098/086,Regular,,Confirmed,,0,
,Pansear,099/086,Regular,,Confirmed,,0,
,Simisear,100/086,Regular,,Confirmed,,0,
,Litwick,101/086,Regular,,Confirmed,,0,
,Lampent,102/086,Regular,,Confirmed,,0,
,Chandelure,103/086,Regular,,Confirmed,,0,
,Heatmor,104/086,Regular,,Confirmed,,0,
,Oshawott,105/086,Regular,,Confirmed,,0,
,Dewott,106/086,Regular,,Confirmed,,0,
,Samurott,107/086,Regular,,Confirmed,,0,
,Basculin,108/086,Regular,,Confirmed,,0,
,Ducklett,109/086,Regular,,Confirmed,,0,
,Swanna,110/086,Regular,,Confirmed,,0,
,Vanillite,111/086,Regular,,Confirmed,,0,
,Vanillish,112/086,Regular,,Confirmed,,0,
,Vanilluxe,113/086,Regular,,Confirmed,,0,
,Blitzle,114/086,Regular,,Confirmed,,0,
,Zebstrika,115/086,Regular,,Confirmed,,0,
,Joltik,116/086,Regular,,Confirmed,,0,
,Galvantula,117/086,Regular,,Confirmed,,0,
,Stunfisk,118/086,Regular,,Confirmed,,0,
,Woobat,119/086,Regular,,Confirmed,,0,
,Swoobat,120/086,Regular,,Confirmed,,0,
,Sigilyph,121/086,Regular,,Confirmed,,0,
,Yamask,122/086,Regular,,Confirmed,,0,
,Cofagrigus,123/086,Regular,,Confirmed,,0,
,Gothita,124/086,Regular,,Confirmed,,0,
,Gothorita,125/086,Regular,,Confirmed,,0,
,Frillish,126/086,Regular,,Confirmed,,0,
,Roggenrola,127/086,Regular,,Confirmed,,0,
,Boldore,128/086,Regular,,Confirmed,,0,
,Gigalith,129/086,Regular,,Confirmed,,0,
,Sawk,130/086,Regular,,Confirmed,,0,
,Archen,131/086,Regular,,Confirmed,,0,
,Archeops,132/086,Regular,,Confirmed,,0,
,Mienfoo,133/086,Regular,,Confirmed,,0,
,Mienshao,134/086,Regular,,Confirmed,,0,
