Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Floatzel,058/182,Reverse holo,,Confirmed,,0,
,Snover,059/182,Regular,,Confirmed,,1,
,Snover,059/182,Reverse holo,,Confirmed,,1,
,Abomasnow,060/182,Regular,,Confirmed,,1,
,Abomasnow,060/182,Reverse holo,,Confirmed,,1,
,Wash Rotom,061/182,Regular,,Confirmed,,0,
,Wash Rotom,061/182,Reverse holo,,Confirmed,,1,
,Arrokuda,062/182,Regular,,Confirmed,,0,
,Arrokuda,062/182,Reverse holo,,Confirmed,,1,
,Barraskewda,063/182,Regular,,Confirmed,,1,
,Barraskewda,063/182,Reverse holo,,Confirmed,,1,
,Cetoddle,064/182,Regular,,Confirmed,,1,
,Cetoddle,064/182,Reverse holo,,Confirmed,,0,
,Cetitan ex,065/182,Regular,,Confirmed,,0,
,Dondozo ex,066/182,Regular,,Confirmed,,1,
,Wellspring Mask Ogerpon,067/182,Regular,,Confirmed,,1,
,Wellspring Mask Ogerpon,067/182,Reverse holo,,Confirmed,,0,
,Electabuzz,068/182,Regular,,Confirmed,,1,
,Electabuzz,068/182,Reverse holo,,Confirmed,,0,
,Electivire ex,069/182,Regular,,Confirmed,,0,
,Team Rocket's Zapdos,070/182,Regular,,Confirmed,,1,
,Team Rocket's Zapdos,070/182,Reverse holo,,Confirmed,,0,
,Ethan's Pichu,071/182,Regular,,Confirmed,,1,
,Ethan's Pichu,071/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Mareep,072/182,Regular,,Confirmed,,1,
,Team Rocket's Mareep,072/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Flaaffy,073/182,Regular,,Confirmed,,0,
,Team Rocket's Flaaffy,073/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Ampharos,074/182,Regular,,Confirmed,,1,
,Team Rocket's Ampharos,074/182,Reverse holo,,Confirmed,,0,
,Electrike,075/182,Regular,,Confirmed,,1,
,Electrike,075/182,Reverse holo,,Confirmed,,1,
,Manectric,076/182,Regular,,Confirmed,,1,
,Manectric,076/182,Reverse holo,,Confirmed,,1,
,Rotom,077/182,Regular,,Confirmed,,1,
,Rotom,077/182,Reverse holo,,Confirmed,,1,
,Zeraora,078/182,Regular,,Confirmed,,1,
,Zeraora,078/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Drowzee,079/182,Regular,,Confirmed,,1,
,Team Rocket's Drowzee,079/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Hypno,080/182,Regular,,Confirmed,,1,
,Team Rocket's Hypno,080/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Mewtwo ex,081/182,Regular,,Confirmed,,0,
,Team Rocket's Wobbuffet,082/182,Regular,,Confirmed,,0,
,Team Rocket's Wobbuffet,082/182,Reverse holo,,Confirmed,,0,
,Steven's Baltoy,083/182,Regular,,Confirmed,,1,
,Steven's Baltoy,083/182,Reverse holo,,Confirmed,,0,
,Steven's Claydol,084/182,Regular,,Confirmed,,0,
,Steven's Claydol,084/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Chingling,085/182,Regular,,Confirmed,,1,
,Team Rocket's Chingling,085/182,Reverse holo,,Confirmed,,1,
,Steven's Carbink,086/182,Regular,,Confirmed,,0,
,Steven's Carbink,086/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Mimikyu,087/182,Regular,,Confirmed,,1,
,Team Rocket's Mimikyu,087/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Dottler,088/182,Regular,,Confirmed,,0,
,Team Rocket's Dottler,088/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Orbeetle,089/182,Regular,,Confirmed,,1,
,Team Rocket's Orbeetle,089/182,Reverse holo,,Confirmed,,0,
,Mankey,090/182,Regular,,Confirmed,,1,
,Mankey,090/182,Reverse holo,,Confirmed,,1,
,Primeape,091/182,Regular,,Confirmed,,1,
,Primeape,091/182,Reverse holo,,Confirmed,,0,
,Annihilape,092/182,Regular,,Confirmed,,1,
,Annihilape,092/182,Reverse holo,,Confirmed,,0,
,Ethan's Sudowoodo,093/182,Regular,,Confirmed,,1,
,Ethan's Sudowoodo,093/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Larvitar,094/182,Regular,,Confirmed,,1,
,Team Rocket's Larvitar,094/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Pupitar,095/182,Regular,,Confirmed,,0,
,Team Rocket's Pupitar,095/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Tyranitar,096/182,Regular,,Confirmed,,1,
,Team Rocket's Tyranitar,096/182,Reverse holo,,Confirmed,,0,
,Nosepass,097/182,Regular,,Confirmed,,1,
,Nosepass,097/182,Reverse holo,,Confirmed,,1,
,Probopass,098/182,Regular,,Confirmed,,1,
,Probopass,098/182,Reverse holo,,Confirmed,,0,
,Meditite,099/182,Regular,,Confirmed,,1,
,Meditite,099/182,Reverse holo,,Confirmed,,0,
,Medicham,100/182,Regular,,Confirmed,,1,
,Medicham,100/182,Reverse holo,,Confirmed,,0,
,Regirock ex,101/182,Regular,,Confirmed,,1,
,Cynthia's Gible,102/182,Regular,,Confirmed,,1,
,Cynthia's Gible,102/182,Reverse holo,,Confirmed,,0,
,Cynthia's Gabite,103/182,Regular,,Confirmed,,1,
,Cynthia's Gabite,103/182,Reverse holo,,Confirmed,,1,
,Cynthia's Garchomp ex,104/182,Regular,,Confirmed,,0,
,Hippopotas,105/182,Regular,,Confirmed,,1,
,Hippopotas,105/182,Reverse holo,,Confirmed,,0,
,Hippowdon,106/182,Regular,,Confirmed,,1,
,Hippowdon,106/182,Reverse holo,,Confirmed,,0,
,Mudbray,107/182,Regular,,Confirmed,,1,
,Mudbray,107/182,Reverse holo,,Confirmed,,1,
,Mudsdale,108/182,Regular,,Confirmed,,1,
,Mudsdale,108/182,Reverse holo,,Confirmed,,0,
,Arven's Toedscool,109/182,Regular,,Confirmed,,1,
,Arven's Toedscool,109/182,Reverse holo,,Confirmed,,1,
,Arven's Toedscruel,110/182,Regular,,Confirmed,,1,
,Arven's Toedscruel,110/182,Reverse holo,,Confirmed,,0,
,Cornerstone Mask Ogerpon,111/182,Regular,,Confirmed,,1,
,Cornerstone Mask Ogerpon,111/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Ekans,112/182,Regular,,Confirmed,,1,
