Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Poké Vital A,062/064,Regular,,Confirmed,,0,
,Powerglass,063/064,Regular,,Confirmed,,0,
,Powerglass,063/064,Reverse holo,,Confirmed,,0,
,Xerosic's Machinations,064/064,Regular,,Confirmed,,0,
,Xerosic's Machinations,064/064,Reverse holo,,Confirmed,,0,
,Tapu Bulu,065/064,Regular,,Confirmed,,0,
,Houndoom,066/064,Regular,,Confirmed,,0,
,Horsea,067/064,Regular,,Confirmed,,0,
,Duskull,068/064,Regular,,Confirmed,,0,
,Dusclops,069/064,Regular,,Confirmed,,0,
,Dusknoir,070/064,Regular,,Confirmed,,0,
,Cresselia,071/064,Regular,,Confirmed,,0,
,Munkidori,072/064,Regular,,Confirmed,,0,
,Fezandipiti,073/064,Regular,,Confirmed,,0,
,Okidogi,074/064,Regular,,Confirmed,,0,
,Zorua,075/064,Regular,,Confirmed,,0,
,Cufant,076/064,Regular,,Confirmed,,0,
,Fraxure,077/064,Regular,,Confirmed,,0,
,Persian,078/064,Regular,,Confirmed,,0,
,Bewear,079/064,Regular,,Confirmed,,0,
,Kingdra ex,080/064,Regular,,Confirmed,,0,
,Revavroom ex,081/064,Regular,,Confirmed,,0,
,Okidogi ex,082/064,Regular,,Confirmed,,0,
,Munkidori ex,083/064,Regular,,Confirmed,,0,
,Fezandipiti ex,084/064,Regular,,Confirmed,,0,
,Pecharunt ex,085/064,Regular,,Confirmed,,0,
,Cassiopeia,086/064,Regular,,Confirmed,,0,
,Colress's Tenacity,087/064,Regular,,Confirmed,,0,
,Janine's Secret Art,088/064,Regular,,Confirmed,,0,
,Xerosic's Machinations,089/064,Regular,,Confirmed,,0,
,Okidogi ex,090/064,Regular,,Confirmed,,0,
,Munkidori ex,091/064,Regular,,Confirmed,,0,
,Fezandipiti ex,092/064,Regular,,Confirmed,,0,
,Pecharunt ex,093/064,Regular,,Confirmed,,0,
,Cassiopeia,094/064,Regular,,Confirmed,,0,
,Pecharunt ex,095/064,Regular,,Confirmed,,0,
,Earthen Vessel,096/064,Regular,,Confirmed,,0,
,Powerglass,097/064,Regular,,Confirmed,,0,
,Basic Darkness Energy,098/064,Regular,,Confirmed,,0,
,Basic Metal Energy,099/064,Regular,,Confirmed,,0,
