Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Techno Radar,130/131,Reverse holo,,Confirmed,,0,
,Treasure Tracker,131/131,Regular,,Confirmed,,0,
,Amarys,132/131,Regular,,Confirmed,,0,
,Atticus,133/131,Regular,,Confirmed,,0,
,Atticus,134/131,Regular,,Confirmed,,0,
,Brassius,135/131,Regular,,Confirmed,,0,
,Eri,136/131,Regular,,Confirmed,,0,
,Friends in Paldea,137/131,Regular,,Confirmed,,0,
,Giacomo,138/131,Regular,,Confirmed,,0,
,Larry's Skill,139/131,Regular,,Confirmed,,0,
,Mela,140/131,Regular,,Confirmed,,0,
,Ortega,141/131,Regular,,Confirmed,,0,
,Raifort,142/131,Regular,,Confirmed,,0,
,Tyme,143/131,Regular,,Confirmed,,0,
,Leafeon ex,144/131,Regular,,Confirmed,,0,
,Teal Mask Ogerpon ex,145/131,Regular,,Confirmed,,0,
,Flareon ex,146/131,Regular,,Confirmed,,0,
,Ceruledge ex,147/131,Regular,,Confirmed,,0,
,Hearthflame Mask Ogerpon ex,148/131,Regular,,Confirmed,,0,
,Vaporeon ex,149/131,Regular,,Confirmed,,0,
,Glaceon ex,150/131,Regular,,Confirmed,,0,
,Palafin ex,151/131,Regular,,Confirmed,,0,
,Wellspring Mask Ogerpon ex,152/131,Regular,,Confirmed,,0,
,Jolteon ex,153/131,Regular,,Confirmed,,0,
,Iron Hands ex,154/131,Regular,,Confirmed,,0,
,Espeon ex,155/131,Regular,,Confirmed,,0,
,Sylveon ex,156/131,Regular,,Confirmed,,0,
,Iron Valiant ex,157/131,Regular,,Confirmed,,0,
,Iron Crown ex,158/131,Regular,,Confirmed,,0,
,Sandy Shocks ex,159/131,Regular,,Confirmed,,0,
,Cornerstone Mask Ogerpon ex,160/131,Regular,,Confirmed,,0,
,Umbreon ex,161/131,Regular,,Confirmed,,0,
,Roaring Moon ex,162/131,Regular,,Confirmed,,0,
,Pecharunt ex,163/131,Regular,,Confirmed,,0,
,Gholdengo ex,164/131,Regular,,Confirmed,,0,
,Dragapult ex,165/131,Regular,,Confirmed,,0,
,Raging Bolt ex,166/131,Regular,,Confirmed,,0,
,Eevee ex,167/131,Regular,,Confirmed,,0,
,Bloodmoon Ursaluna ex,168/131,Regular,,Confirmed,,0,
,Terapagos ex,169/131,Regular,,Confirmed,,0,
,Amarys,170/131,Regular,,Confirmed,,0,
,Crispin,171/131,Regular,,Confirmed,,0,
,Drayton,172/131,Regular,,Confirmed,,0,
,Janine's Secret Art,173/131,Regular,,Confirmed,,0,
,Kieran,174/131,Regular,,Confirmed,,0,
,Lacey,175/131,Regular,,Confirmed,,0,
,Iron Leaves ex,176/131,Regular,,Confirmed,,0,
,Teal Mask Ogerpon ex,177/131,Regular,,Confirmed,,0,
,Walking Wake ex,178/131,Regular,,Confirmed,,0,
,Pikachu ex,179/131,Regular,,Confirmed,,0,
,Terapagos ex,180/131,Regular,,Confirmed,,0,
