Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Palafin,060/167,Regular,,Confirmed,,0,
,Palafin,060/167,Reverse holo,,Confirmed,,0,
,Palafin ex,061/167,Regular,,Confirmed,,0,
,Iron Bundle,062/167,Regular,,Confirmed,,0,
,Iron Bundle,062/167,Reverse holo,,Confirmed,,0,
,Walking Wake,063/167,Regular,,Confirmed,,0,
,Walking Wake,063/167,Reverse holo,,Confirmed,,0,
,Wellspring Mask Ogerpon ex,064/167,Regular,,Confirmed,,0,
,Zapdos,065/167,Regular,,Confirmed,,0,
,Zapdos,065/167,Reverse holo,,Confirmed,,0,
,Shinx,066/167,Regular,,Confirmed,,0,
,Shinx,066/167,Reverse holo,,Confirmed,,0,
,Luxio,067/167,Regular,,Confirmed,,0,
,Luxio,067/167,Reverse holo,,Confirmed,,0,
,Luxray ex,068/167,Regular,,Confirmed,,0,
,Emolga,069/167,Regular,,Confirmed,,0,
,Emolga,069/167,Reverse holo,,Confirmed,,0,
,Helioptile,070/167,Regular,,Confirmed,,0,
,Helioptile,070/167,Reverse holo,,Confirmed,,0,
,Heliolisk,071/167,Regular,,Confirmed,,0,
,Heliolisk,071/167,Reverse holo,,Confirmed,,0,
,Morpeko,072/167,Regular,,Confirmed,,0,
,Morpeko,072/167,Reverse holo,,Confirmed,,0,
,Tadbulb,073/167,Regular,,Confirmed,,0,
,Tadbulb,073/167,Reverse holo,,Confirmed,,0,
,Bellibolt,074/167,Regular,,Confirmed,,0,
,Bellibolt,074/167,Reverse holo,,Confirmed,,0,
,Wattrel,075/167,Regular,,Confirmed,,0,
,Wattrel,075/167,Reverse holo,,Confirmed,,0,
,Kilowattrel,076/167,Regular,,Confirmed,,0,
,Kilowattrel,076/167,Reverse holo,,Confirmed,,0,
,Iron Thorns ex,077/167,Regular,,Confirmed,,0,
,Clefairy,078/167,Regular,,Confirmed,,0,
,Clefairy,078/167,Reverse holo,,Confirmed,,0,
,Clefable,079/167,Regular,,Confirmed,,0,
,Clefable,079/167,Reverse holo,,Confirmed,,0,
,Abra,080/167,Regular,,Confirmed,,0,
,Abra,080/167,Reverse holo,,Confirmed,,0,
,Kadabra,081/167,Regular,,Confirmed,,0,
,Kadabra,081/167,Reverse holo,,Confirmed,,0,
,Alakazam,082/167,Regular,,Confirmed,,0,
,Alakazam,082/167,Reverse holo,,Confirmed,,0,
,Girafarig,083/167,Regular,,Confirmed,,0,
,Girafarig,083/167,Reverse holo,,Confirmed,,0,
,Farigiraf,084/167,Regular,,Confirmed,,0,
,Farigiraf,084/167,Reverse holo,,Confirmed,,0,
,Chimecho,085/167,Regular,,Confirmed,,0,
,Chimecho,085/167,Reverse holo,,Confirmed,,0,
,Flabébé,086/167,Regular,,Confirmed,,0,
,Flabébé,086/167,Reverse holo,,Confirmed,,0,
,Floette,087/167,Regular,,Confirmed,,0,
,Floette,087/167,Reverse holo,,Confirmed,,0,
,Florges,088/167,Regular,,Confirmed,,0,
,Florges,088/167,Reverse holo,,Confirmed,,0,
,Swirlix,089/167,Regular,,Confirmed,,0,
,Swirlix,089/167,Reverse holo,,Confirmed,,0,
,Slurpuff,090/167,Regular,,Confirmed,,0,
,Slurpuff,090/167,Reverse holo,,Confirmed,,0,
,Sandygast,091/167,Regular,,Confirmed,,0,
,Sandygast,091/167,Reverse holo,,Confirmed,,0,
,Palossand,092/167,Regular,,Confirmed,,0,
,Palossand,092/167,Reverse holo,,Confirmed,,0,
,Enamorus,093/167,Regular,,Confirmed,,0,
,Enamorus,093/167,Reverse holo,,Confirmed,,0,
,Scream Tail ex,094/167,Regular,,Confirmed,,0,
,Munkidori,095/167,Regular,,Confirmed,,0,
,Munkidori,095/167,Reverse holo,,Confirmed,,0,
